#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 -1 1 -1 1 -1 -2	61214	46
1 -1 1 -1 5 -1 -2	52303	15
1 -1 2 5 -1 -2	21853	9
5 -1 1 2 -1 -2	21050	5
1 -1 1 -1 -2	70650	29
1 3 -1 2 -1 -2	8793	2
2 -1 2 -1 3 -1 -2	8264	2
6 -1 1 -1 5 -1 -2	4960	3
1 -1 5 -1 5 -1 -2	52799	14
2 3 -1 -2	8927	2
1 2 -1 2 -1 -2	19396	4
1 -1 3 -1 1 -1 -2	18379	8
1 -1 -2	78307	16
4 -1 4 -1 3 -1 -2	5523	1
1 5 -1 3 -1 -2	18058	6
5 -1 1 -1 -2	61810	10
5 -1 5 -1 3 -1 -2	20111	3
6 -1 2 4 -1 -2	1172	1
1 5 -1 1 -1 -2	52736	27
4 5 -1 -2	18649	1
1 -1 1 4 -1 -2	15491	8
3 -1 2 -1 -2	11008	1
2 -1 1 -1 -2	27049	13
1 -1 1 5 -1 -2	52586	24
6 -1 2 -1 1 -1 -2	2644	3
5 -1 2 -1 -2	29654	4
1 3 -1 1 -1 -2	17784	8
3 -1 3 -1 -2	22143	2
5 -1 2 -1 5 -1 -2	25519	5
5 -1 1 -1 5 -1 -2	53031	13
2 -1 1 4 -1 -2	7857	2
1 -1 3 -1 5 -1 -2	17302	5
1 2 -1 4 -1 -2	7932	4
2 -1 3 -1 1 -1 -2	8664	2
2 -1 1 -1 3 -1 -2	8771	4
5 -1 3 -1 1 -1 -2	17399	4
6 -1 6 -1 6 -1 -2	3462	1
2 -1 2 -1 2 -1 -2	21226	8
3 5 -1 4 -1 -2	6959	1
3 5 -1 5 -1 -2	19507	2
5 -1 1 -1 4 -1 -2	15350	6
2 -1 2 -1 5 -1 -2	21810	5
1 -1 4 -1 3 -1 -2	6391	2
3 -1 3 -1 1 -1 -2	15537	5
1 -1 2 -1 -2	27270	7
1 6 -1 1 -1 -2	5033	2
3 -1 3 -1 3 -1 -2	16676	4
2 -1 5 -1 1 -1 -2	21703	2
2 -1 1 -1 5 -1 -2	21572	5
5 -1 5 -1 2 -1 -2	25922	3
1 4 5 -1 -2	13831	1
1 -1 3 -1 -2	21824	2
1 -1 1 -1 3 -1 -2	18760	14
3 -1 3 -1 5 -1 -2	16461	2
4 -1 2 4 -1 -2	6087	2
1 -1 4 5 -1 -2	15001	6
1 -1 2 -1 2 -1 -2	19702	4
4 -1 4 5 -1 -2	14038	2
5 -1 1 5 -1 -2	53537	14
1 5 -1 -2	58721	3
5 -1 2 5 -1 -2	25347	5
6 -1 4 -1 5 -1 -2	2189	1
5 -1 1 -1 1 -1 -2	52159	18
3 4 5 -1 -2	5300	1
1 -1 4 -1 -2	18891	5
4 -1 4 -1 4 -1 -2	13331	2
1 -1 1 2 -1 -2	22025	6
2 -1 5 -1 5 -1 -2	24978	3
1 -1 1 3 -1 -2	18024	12
1 5 -1 5 -1 -2	53389	15
3 -1 1 5 -1 -2	17774	3
3 -1 5 -1 1 -1 -2	17042	3
3 -1 -2	28139	1
2 -1 1 -1 1 -1 -2	22511	10
4 -1 3 -1 2 -1 -2	3829	1
2 -1 1 -1 2 -1 -2	19521	5
4 -1 5 -1 1 -1 -2	14966	3
