#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 -1 -2	73559	4874
4 -1 -2	20290	579
2 -1 -2	30264	1026
1 -1 2 -1 -2	21414	10
5 -1 -2	79484	2365
3 -1 -2	23671	686
6 -1 -2	6355	158
5 -1 1 -1 -2	53581	20
5 -1 3 -1 -2	18046	8
1 5 -1 -2	51526	23
1 -1 4 -1 -2	14488	10
2 -1 2 -1 -2	23972	5
1 2 -1 -2	19530	11
2 -1 1 -1 -2	21315	17
3 -1 1 -1 -2	16697	9
1 -1 1 -1 -2	64891	58
3 5 -1 -2	17269	3
1 -1 3 -1 -2	16946	11
1 4 -1 -2	13466	4
4 -1 2 -1 -2	7412	2
5 -1 5 -1 -2	71773	20
2 4 -1 -2	5967	2
1 -1 5 -1 -2	53270	16
2 -1 5 -1 -2	23364	8
3 -1 3 -1 -2	18246	4
2 -1 4 -1 -2	7089	5
1 -1 1 -1 2 -1 -2	17447	1
6 -1 1 -1 -2	4664	3
1 6 -1 -2	4298	2
4 -1 4 -1 -2	15327	2
4 -1 1 -1 -2	14370	8
5 -1 2 -1 -2	23609	7
3 -1 4 -1 -2	5365	2
1 3 -1 -2	15747	3
5 -1 2 -1 1 -1 -2	16415	1
1 -1 1 -1 1 -1 -2	53798	2
1 -1 6 -1 -2	4784	1
3 5 -1 3 -1 -2	13028	1
1 -1 1 6 -1 -2	3818	1
3 -1 1 -1 1 -1 -2	13452	1
4 -1 5 -1 -2	15379	4
2 3 -1 -2	6563	1
5 -1 1 -1 3 -1 -2	12802	1
2 6 -1 -2	1702	1
3 -1 5 -1 -2	17710	3
3 -1 2 -1 -2	7834	3
4 5 -1 -2	14651	2
5 -1 4 -1 -2	15619	3
5 -1 5 -1 2 -1 -2	19849	1
3 6 -1 -2	1328	1
6 -1 2 -1 -2	2201	1
2 5 -1 -2	22494	5
1 2 -1 1 -1 -2	17034	1
5 -1 3 5 -1 -2	15378	1
5 6 -1 -2	4685	1
6 -1 5 -1 -2	4867	1
5 -1 1 2 -1 -2	15950	1
