#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

5 -1 -2	8351	1341
1 -1 3 -1 -2	2144	69
2 -1 -2	3487	652
1 -1 -2	7838	3273
3 -1 -2	2780	438
3 -1 1 -1 -2	2148	70
1 -1 1 -1 3 -1 -2	1839	8
1 -1 5 -1 -2	6100	201
2 -1 1 -1 -2	2669	83
4 -1 -2	2342	348
5 -1 6 -1 3 -1 -2	206	1
2 4 -1 -2	786	11
1 3 -1 1 -1 -2	1772	9
4 5 -1 -2	1769	22
1 -1 1 -1 -2	7057	481
1 -1 1 5 -1 -2	5235	39
1 3 -1 5 -1 -2	1641	4
3 -1 2 6 -1 -2	109	1
4 -1 5 -1 -2	1909	23
6 -1 -2	769	101
4 -1 4 -1 -2	1787	30
1 -1 3 -1 1 -1 1 -1 -2	1484	1
1 -1 6 -1 -2	618	16
1 6 -1 3 -1 -2	203	1
1 -1 2 -1 -2	2702	99
2 5 -1 1 -1 -2	2156	9
1 2 -1 -2	2432	53
5 -1 5 -1 3 -1 -2	1940	3
1 5 -1 -2	5856	177
1 -1 4 -1 5 -1 -2	1466	3
1 5 -1 1 -1 6 -1 -2	454	1
4 5 -1 3 4 -1 -2	385	1
5 -1 5 -1 -2	7697	123
2 -1 2 -1 1 -1 -2	1949	7
1 2 -1 3 -1 -2	847	2
3 -1 4 -1 -2	767	11
5 -1 1 -1 3 -1 -2	1695	4
1 5 -1 1 5 -1 -2	4761	3
5 -1 1 -1 -2	6159	169
3 -1 5 -1 -2	2238	36
2 -1 1 -1 2 -1 -2	1910	7
1 5 -1 5 -1 3 -1 -2	1524	1
2 -1 1 -1 4 -1 -2	771	2
1 3 -1 -2	1990	44
3 4 -1 -2	592	3
1 -1 1 -1 1 -1 4 -1 -2	1278	1
1 -1 5 -1 1 -1 -2	5164	27
2 -1 1 -1 2 -1 3 -1 1 -1 3 4 -1 4 -1 5 -1 -2	25	1
4 -1 1 4 -1 -2	1259	1
1 -1 1 5 -1 1 -1 3 -1 -2	1229	1
1 4 -1 1 -1 -2	1481	8
1 6 -1 -2	555	13
2 -1 4 -1 -2	996	10
5 -1 2 -1 -2	2906	44
2 -1 5 -1 -2	2853	40
1 -1 1 -1 1 5 -1 3 -1 1 -1 1 -1 -2	690	1
3 -1 2 -1 3 -1 -2	775	3
1 4 -1 -2	1681	33
1 -1 1 6 -1 -2	499	3
1 4 -1 1 -1 1 -1 -2	1262	3
2 -1 1 2 -1 -2	1908	5
5 -1 1 -1 1 -1 -2	5157	22
4 -1 4 -1 5 -1 -2	1322	3
5 -1 2 -1 1 -1 -2	2186	3
5 -1 1 -1 5 -1 -2	5266	15
2 -1 2 -1 -2	2785	52
3 -1 3 5 -1 -2	1637	1
1 3 -1 6 -1 -2	217	1
1 5 -1 4 -1 -2	1553	6
5 -1 3 6 -1 1 -1 1 5 -1 1 -1 3 -1 -2	62	1
1 5 -1 2 -1 -2	2264	15
2 5 -1 1 5 -1 1 2 -1 5 -1 5 -1 1 2 -1 2 -1 1 -1 -2	121	1
6 -1 3 -1 6 -1 -2	145	1
1 -1 3 5 -1 -2	1678	3
4 5 -1 4 -1 -2	1339	3
1 -1 1 -1 2 -1 -2	2281	13
3 -1 3 -1 1 -1 -2	1528	1
1 -1 2 4 -1 -2	652	4
1 -1 3 -1 6 -1 -2	212	1
1 -1 1 5 -1 2 -1 2 -1 -2	1232	1
2 5 -1 -2	2721	42
3 -1 1 -1 1 -1 -2	1790	8
1 3 -1 2 -1 -2	846	2
1 -1 2 3 5 -1 1 -1 -2	510	1
6 -1 1 -1 -2	604	20
1 2 5 -1 1 -1 1 2 -1 2 5 -1 -2	731	1
2 -1 5 -1 1 -1 -2	2145	3
1 2 3 -1 -2	634	2
1 -1 2 3 -1 -2	707	4
1 -1 5 -1 1 4 5 -1 -2	1054	1
5 -1 1 -1 6 -1 6 -1 6 -1 -2	124	1
4 -1 1 5 -1 1 2 -1 -2	611	1
3 5 -1 -2	2122	27
4 -1 3 5 -1 -2	649	2
1 5 -1 1 -1 -2	5232	34
1 -1 4 -1 1 -1 -2	1550	11
2 6 -1 4 5 -1 -2	107	1
1 -1 5 -1 3 -1 3 -1 -2	1107	1
2 -1 2 3 -1 3 -1 -2	507	1
4 -1 1 -1 -2	1818	63
1 -1 2 -1 1 -1 1 5 -1 6 -1 -2	166	1
3 -1 3 -1 -2	2204	31
2 -1 3 -1 -2	1079	10
2 -1 4 5 -1 -2	829	2
2 4 -1 1 -1 -2	647	1
1 3 4 -1 -2	460	1
5 -1 1 -1 4 -1 5 -1 -2	1215	1
1 -1 3 -1 1 -1 -2	1808	12
1 4 5 -1 1 -1 -2	1173	1
4 -1 2 -1 1 -1 -2	782	1
5 -1 1 3 -1 5 -1 3 -1 -2	954	1
1 -1 1 -1 1 2 -1 -2	1865	2
4 5 -1 1 -1 4 -1 -2	988	1
1 -1 1 -1 5 -1 -2	5175	25
1 -1 1 -1 1 -1 -2	6089	59
6 -1 5 -1 1 -1 -2	474	2
1 -1 6 -1 2 -1 5 -1 1 -1 -2	177	1
3 -1 4 -1 1 -1 -2	628	2
1 -1 3 -1 2 -1 4 5 -1 -2	291	1
2 -1 1 -1 4 -1 5 -1 -2	635	1
1 -1 4 -1 -2	1827	43
5 -1 4 -1 -2	1935	23
5 -1 5 -1 5 -1 -2	6789	10
3 -1 3 4 -1 3 -1 -2	350	1
1 -1 2 -1 1 6 -1 -2	249	1
2 4 -1 1 5 -1 1 5 -1 -2	475	1
1 5 -1 5 -1 -2	5323	10
2 -1 1 5 -1 6 -1 -2	258	1
1 -1 1 4 -1 -2	1516	5
4 -1 1 -1 5 -1 -2	1408	3
5 -1 2 -1 1 -1 5 -1 1 -1 -2	1298	1
1 4 -1 1 -1 1 -1 2 5 -1 -2	480	1
4 5 -1 1 -1 -2	1429	6
1 -1 1 -1 1 -1 5 -1 -2	4136	3
