#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 -1 -2	680	118
31 -1 -2	417	81
59 -1 247 -1 -2	60	1
17 -1 -2	652	139
253 -1 -2	664	121
49 -1 -2	269	45
35 -1 -2	595	129
46 -1 -2	318	60
97 -1 -2	52	11
44 -1 144 -1 -2	178	1
25 -1 69 -1 -2	34	1
30 -1 -2	344	57
27 -1 -2	513	90
252 -1 -2	68	18
9 -1 -2	590	128
110 -1 139 -1 22 -1 -2	33	1
132 -1 -2	313	65
63 -1 -2	193	35
10 -1 -2	507	93
55 -1 -2	234	55
50 -1 -2	288	53
11 -1 117 -1 -2	282	1
8 -1 -2	638	116
78 -1 144 -1 -2	204	2
139 -1 -2	329	65
48 -1 -2	294	54
110 -1 139 -1 256 -1 -2	28	1
245 -1 -2	549	116
44 -1 258 -1 -2	23	1
78 -1 -2	382	81
13 -1 -2	476	104
69 -1 -2	204	45
3 -1 -2	219	36
60 -1 255 -1 -2	36	1
18 -1 32 -1 -2	190	1
258 -1 -2	49	12
73 -1 132 -1 -2	52	1
60 -1 -2	209	39
75 -1 -2	118	32
71 -1 -2	144	27
6 -1 -2	324	67
19 -1 91 -1 -2	13	1
11 -1 137 -1 -2	14	1
42 -1 -2	289	60
53 -1 -2	330	63
117 -1 -2	575	120
105 -1 -2	25	6
246 -1 -2	420	92
118 -1 -2	439	78
3 -1 149 -1 -2	61	1
209 -1 -2	76	13
25 -1 -2	318	49
38 -1 24 -1 -2	69	1
89 -1 -2	55	7
173 -1 -2	41	10
125 -1 132 -1 -2	14	1
23 -1 -2	442	81
58 -1 -2	239	57
43 -1 121 -1 -2	13	1
36 -1 -2	528	108
56 -1 -2	245	37
13 -1 106 -1 -2	7	1
73 -1 -2	189	42
2 -1 -2	363	72
149 -1 -2	267	52
29 -1 -2	369	79
15 -1 -2	394	95
54 -1 17 -1 -2	51	1
23 -1 33 -1 -2	123	3
110 -1 -2	376	84
13 -1 38 -1 -2	152	1
57 -1 -2	222	39
22 -1 118 -1 -2	222	1
26 -1 38 -1 -2	202	1
8 -1 117 -1 -2	473	1
31 -1 48 -1 -2	89	1
248 -1 -2	83	16
59 -1 -2	217	50
79 -1 -2	346	73
17 -1 7 -1 -2	237	3
5 -1 11 -1 -2	118	1
22 -1 147 -1 -2	56	1
75 -1 258 -1 -2	9	1
37 -1 -2	330	72
100 -1 79 -1 -2	15	1
5 -1 -2	352	58
143 -1 -2	626	129
33 -1 -2	317	66
195 -1 -2	157	34
135 -1 -2	77	13
143 -1 283 -1 -2	17	1
36 -1 13 -1 114 -1 117 -1 -2	11	1
9 -1 57 -1 -2	152	1
2 -1 21 -1 -2	146	1
40 -1 28 -1 -2	70	1
42 -1 141 -1 -2	27	1
55 -1 176 -1 -2	1	1
245 -1 253 -1 -2	486	3
76 -1 -2	129	32
10 -1 69 -1 -2	112	1
47 -1 -2	302	57
77 -1 -2	100	16
67 -1 -2	182	37
54 -1 -2	264	64
40 -1 -2	317	55
55 -1 61 -1 48 -1 -2	12	1
74 -1 -2	186	40
32 -1 -2	371	71
102 -1 141 -1 -2	1	1
23 -1 27 -1 -2	193	1
20 -1 -2	428	86
144 -1 -2	440	101
64 -1 -2	174	39
1 -1 37 -1 -2	234	3
110 -1 30 -1 -2	89	2
1 -1 185 -1 -2	13	1
52 -1 -2	267	49
114 -1 -2	199	38
136 -1 129 -1 -2	1	1
96 -1 143 -1 253 -1 -2	20	1
17 -1 257 -1 -2	47	1
31 -1 10 -1 246 -1 -2	39	1
4 -1 -2	384	80
46 -1 53 -1 -2	105	1
218 -1 -2	17	7
83 -1 -2	69	25
63 -1 21 -1 -2	42	1
119 -1 143 -1 -2	65	1
143 -1 253 -1 -2	569	4
254 -1 -2	69	12
57 -1 74 -1 -2	21	1
58 -1 39 -1 -2	68	1
20 -1 190 -1 -2	43	1
65 -1 245 -1 -2	119	1
250 -1 -2	159	32
1 -1 57 -1 30 -1 -2	39	1
148 -1 73 -1 84 -1 -2	1	1
23 -1 179 -1 -2	33	1
150 -1 -2	208	32
51 -1 50 -1 -2	61	1
112 -1 43 -1 -2	11	1
39 -1 -2	340	63
256 -1 -2	68	9
35 -1 25 -1 -2	165	1
26 -1 -2	601	117
47 -1 9 -1 -2	48	1
28 -1 -2	425	80
18 -1 -2	552	139
36 -1 189 -1 -2	58	2
112 -1 -2	37	11
12 -1 -2	353	77
284 -1 -2	18	4
70 -1 137 -1 -2	8	1
26 -1 269 -1 -2	5	1
191 -1 -2	87	12
15 -1 48 -1 -2	112	2
40 -1 246 -1 -2	155	2
61 -1 -2	212	40
110 -1 246 -1 -2	208	2
27 -1 23 -1 -2	143	2
7 -1 -2	336	50
10 -1 44 -1 256 -1 -2	11	1
74 -1 118 -1 -2	94	1
22 -1 -2	474	96
108 -1 -2	100	19
36 -1 101 -1 51 -1 -2	4	1
255 -1 -2	181	45
4 -1 245 -1 -2	273	4
45 -1 -2	329	77
16 -1 -2	358	69
62 -1 -2	197	36
1 -1 16 -1 -2	264	3
109 -1 -2	92	23
261 -1 -2	25	5
41 -1 -2	366	78
72 -1 144 -1 -2	83	2
40 -1 25 -1 -2	94	1
7 -1 30 -1 -2	79	1
1 -1 47 -1 -2	234	1
18 -1 147 -1 -2	54	1
45 -1 16 -1 -2	77	1
44 -1 56 -1 -2	62	1
11 -1 -2	455	85
36 -1 113 -1 -2	224	3
61 -1 13 -1 -2	45	2
125 -1 -2	21	7
108 -1 31 -1 -2	22	1
7 -1 33 -1 -2	76	1
133 -1 -2	338	79
14 -1 -2	420	79
34 -1 -2	324	70
21 -1 -2	317	62
60 -1 18 -1 262 -1 -2	10	1
17 -1 44 -1 -2	210	1
19 -1 -2	423	70
255 -1 27 -1 -2	2	1
