#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

7 -1 -2	4886	278
4 5 -1 3 4 -1 -2	202	1
2 -1 1 5 -1 8 -1 5 7 -1 1 5 -1 -2	347	1
8 -1 -2	5894	347
1 -1 1 -1 5 7 -1 1 -1 8 -1 5 9 10 -1 9 -1 -2	67	1
1 -1 3 -1 -2	1581	24
7 -1 3 5 8 -1 1 -1 -2	413	1
1 -1 -2	6728	1225
7 9 -1 -2	3256	15
2 -1 9 -1 9 -1 -2	1881	3
9 -1 8 -1 7 -1 8 -1 -2	1640	1
7 -1 1 -1 8 -1 1 -1 2 9 -1 8 -1 3 -1 -2	63	1
9 -1 1 -1 -2	4773	74
1 -1 1 -1 -2	5966	206
5 6 -1 -2	397	3
5 -1 1 -1 2 -1 1 -1 3 -1 3 -1 6 -1 -2	8	1
8 -1 8 9 -1 9 -1 1 -1 -2	1811	1
2 -1 -2	3157	259
1 7 -1 -2	3112	36
10 -1 10 -1 2 -1 2 -1 -2	208	1
1 -1 5 -1 1 -1 5 8 9 -1 -2	1423	1
1 -1 1 10 -1 -2	854	5
8 -1 3 -1 5 -1 1 -1 1 9 -1 1 3 6 -1 3 -1 2 -1 -2	4	1
6 -1 2 -1 10 -1 1 -1 -2	40	1
1 -1 7 -1 -2	3355	49
7 -1 9 -1 2 8 -1 -2	811	1
5 10 -1 9 -1 5 -1 10 -1 2 -1 -2	131	1
2 4 5 6 -1 1 -1 4 9 -1 -2	13	1
4 -1 8 -1 7 -1 -2	598	1
8 -1 8 -1 -2	5073	22
1 -1 5 -1 2 -1 2 -1 -2	1059	1
7 -1 8 -1 -2	3082	16
1 -1 5 -1 -2	4855	51
5 7 -1 8 -1 1 -1 -2	1650	1
8 9 -1 9 -1 -2	3365	2
8 -1 1 -1 9 -1 5 -1 1 9 -1 3 -1 -2	277	1
7 8 -1 1 -1 -2	2036	5
6 -1 5 -1 -2	418	3
2 8 -1 5 -1 -2	1369	1
1 -1 10 -1 1 -1 -2	919	5
2 8 -1 1 -1 -2	1317	3
4 -1 4 -1 -2	1283	11
5 -1 -2	7217	540
8 -1 1 -1 2 -1 1 -1 -2	1096	2
9 -1 3 -1 2 3 -1 -2	321	1
4 -1 -2	1716	131
5 7 -1 9 -1 -2	2558	1
1 -1 1 2 -1 2 -1 7 -1 -2	619	1
7 -1 9 -1 -2	3558	17
5 -1 1 -1 -2	4870	71
2 -1 7 -1 -2	1673	12
3 9 -1 2 7 -1 7 -1 1 5 7 -1 9 -1 6 -1 -2	12	1
7 -1 1 -1 1 8 -1 5 -1 -2	1281	1
2 9 -1 8 -1 -2	1438	2
5 -1 9 -1 9 -1 5 -1 -2	3305	1
3 -1 2 -1 9 -1 1 -1 8 -1 -2	278	1
5 -1 8 -1 -2	4390	23
5 -1 7 -1 7 -1 -2	2848	1
8 -1 10 -1 1 -1 2 -1 -2	259	1
1 5 9 -1 1 -1 9 -1 9 -1 9 -1 -2	1375	1
1 -1 1 -1 1 -1 2 -1 -2	1465	2
7 -1 1 4 5 -1 9 -1 1 -1 5 -1 1 5 9 -1 -2	135	1
3 9 -1 -2	1450	7
1 -1 1 2 -1 1 -1 -2	1485	1
4 8 -1 9 -1 -2	729	1
3 -1 5 -1 7 -1 1 -1 -2	602	1
3 -1 -2	2203	164
8 -1 1 -1 -2	4103	49
7 -1 5 -1 7 9 -1 -2	1973	1
8 -1 5 -1 -2	4320	23
7 -1 5 -1 10 -1 -2	662	1
1 9 -1 9 -1 -2	3926	10
2 -1 7 -1 6 -1 2 -1 1 -1 1 9 -1 -2	31	1
1 -1 1 5 -1 -2	3994	13
3 8 -1 8 9 -1 1 10 -1 5 -1 5 -1 3 -1 4 7 -1 9 -1 7 -1 -2	3	1
9 10 -1 1 -1 9 -1 5 -1 -2	436	1
1 -1 7 -1 2 -1 1 8 -1 4 7 -1 -2	98	1
1 9 -1 -2	4449	50
4 -1 2 6 8 -1 5 -1 -2	25	1
7 -1 1 -1 10 -1 5 -1 5 -1 -2	343	1
7 -1 8 -1 8 -1 -2	2430	2
1 9 -1 1 -1 1 -1 -2	3272	5
1 2 -1 -2	2046	12
9 -1 -2	6931	401
1 -1 1 5 -1 1 -1 -2	3308	2
5 6 -1 9 -1 2 -1 1 -1 -2	93	1
2 -1 8 -1 4 9 -1 9 -1 2 -1 -2	149	1
4 -1 7 -1 1 -1 -2	670	1
8 -1 9 -1 5 -1 -2	3012	4
2 -1 9 -1 2 -1 9 -1 1 9 -1 -2	614	1
1 -1 1 -1 8 -1 1 4 -1 9 -1 1 4 -1 -2	120	1
7 -1 1 6 7 -1 5 -1 8 -1 1 -1 -2	70	1
2 5 -1 3 5 -1 5 -1 3 -1 -2	277	1
2 -1 4 10 -1 3 -1 3 -1 5 -1 -2	15	1
9 -1 8 -1 -2	4135	18
7 -1 7 -1 5 8 -1 10 -1 10 -1 -2	157	1
1 9 -1 1 7 -1 -2	2044	1
5 -1 4 -1 3 8 -1 5 -1 1 10 -1 -2	39	1
5 9 -1 2 -1 -2	1765	4
1 -1 9 -1 -2	4702	68
1 7 -1 3 8 -1 7 10 -1 1 -1 -2	81	1
5 -1 1 -1 2 -1 7 -1 5 -1 2 -1 -2	332	1
8 -1 7 -1 -2	3029	14
3 -1 4 -1 1 8 -1 -2	241	1
1 2 7 -1 -2	962	2
9 -1 5 8 -1 9 -1 -2	2484	1
1 -1 1 5 -1 1 9 -1 -2	2392	1
1 3 5 -1 8 -1 1 -1 8 -1 -2	438	1
2 -1 1 -1 3 -1 2 -1 1 8 -1 -2	188	1
1 -1 8 -1 4 -1 2 -1 8 -1 -2	204	1
10 -1 -2	1518	87
3 -1 1 3 -1 4 8 -1 1 9 -1 4 -1 5 -1 1 8 -1 6 -1 9 -1 9 -1 -2	1	1
1 -1 4 8 -1 -2	737	2
3 -1 5 -1 3 -1 5 -1 9 -1 1 -1 -2	304	1
2 -1 1 -1 1 -1 1 2 -1 -2	952	1
8 -1 1 -1 5 6 -1 1 9 -1 -2	140	1
2 -1 7 -1 8 -1 6 -1 8 -1 5 -1 1 5 -1 -2	29	1
1 -1 1 -1 2 -1 8 -1 3 -1 -2	263	1
3 8 -1 8 -1 1 -1 5 9 -1 -2	443	1
1 -1 8 -1 -2	4149	53
7 -1 3 9 -1 3 -1 -2	584	1
1 -1 2 -1 -2	2258	36
1 6 -1 1 5 -1 4 5 -1 -2	58	1
9 -1 8 -1 2 -1 1 -1 -2	1049	1
3 -1 9 -1 3 5 -1 -2	814	1
1 9 -1 10 -1 -2	842	1
7 8 -1 8 -1 -2	2343	3
1 -1 4 -1 -2	1256	15
9 -1 1 -1 1 -1 7 8 10 -1 -2	200	1
9 -1 8 -1 7 -1 5 -1 8 -1 -2	1123	1
9 -1 3 9 -1 1 -1 5 8 -1 1 -1 -2	364	1
3 -1 3 -1 8 -1 -2	997	3
4 -1 7 -1 -2	912	6
