#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

6 -1 1 -1 2 6 -1 1 -1 1 -1 2 -1 -2	441	1
6 -1 5 -1 1 -1 4 -1 1 4 -1 2 -1 -2	418	1
5 -1 3 -1 5 -1 5 -1 1 -1 5 -1 2 -1 -2	2707	1
5 -1 1 -1 3 -1 3 -1 5 -1 4 5 -1 -2	2011	1
1 2 -1 2 -1 1 -1 5 -1 4 -1 5 -1 -2	2571	1
5 -1 2 5 -1 1 -1 3 6 -1 4 -1 -2	330	1
2 -1 3 -1 3 4 -1 3 -1 4 -1 -2	958	1
1 -1 4 5 -1 5 -1 4 -1 5 -1 4 -1 -2	3096	1
1 -1 1 4 -1 1 4 -1 1 -1 -2	7573	1
1 2 -1 4 6 -1 1 -1 1 -1 2 -1 -2	448	1
5 -1 1 -1 1 -1 1 -1 1 -1 1 -1 5 -1 -2	12876	1
4 -1 3 -1 2 -1 2 3 5 -1 -2	1539	1
3 -1 2 5 -1 1 -1 4 -1 1 4 -1 -2	1497	1
1 -1 1 -1 1 -1 5 -1 5 -1 5 -1 3 -1 -2	4999	1
1 3 -1 5 -1 5 -1 1 5 -1 3 -1 -2	6555	1
1 -1 4 -1 1 -1 1 -1 1 -1 1 -1 5 -1 -2	4238	1
3 5 -1 1 -1 5 -1 1 -1 6 -1 -2	1310	1
1 2 4 -1 1 -1 1 -1 3 -1 5 -1 -2	1715	1
6 -1 4 6 -1 2 -1 2 -1 1 2 -1 -2	266	1
1 3 -1 1 -1 5 -1 5 -1 1 -1 -2	8922	1
3 -1 5 -1 2 3 5 -1 3 -1 5 -1 -2	2540	1
5 -1 5 -1 2 -1 2 -1 2 -1 2 -1 2 -1 -2	2785	1
1 -1 3 -1 2 -1 2 -1 2 3 -1 2 -1 -2	1327	1
1 -1 2 3 -1 4 -1 3 -1 -2	1984	1
1 -1 1 2 -1 2 5 -1 1 2 -1 -2	8113	1
3 -1 1 -1 1 2 -1 1 2 3 -1 -2	2805	1
1 -1 2 3 6 -1 3 -1 4 -1 2 -1 -2	219	1
1 -1 5 -1 1 5 -1 5 -1 3 -1 4 -1 -2	2815	1
5 -1 1 3 -1 3 6 -1 5 -1 -2	892	1
3 -1 1 3 -1 1 5 -1 1 -1 -2	8697	1
2 -1 1 -1 1 -1 1 3 5 -1 3 -1 -2	3376	1
1 -1 4 -1 1 -1 4 -1 3 -1 1 4 -1 -2	1444	1
2 -1 3 -1 2 -1 1 -1 1 2 3 -1 -2	2034	1
2 -1 3 -1 1 -1 5 -1 5 -1 3 5 -1 -2	2781	1
1 -1 1 -1 1 -1 5 -1 1 -1 4 -1 -2	6554	1
1 5 -1 5 -1 3 -1 -2	15908	1
1 -1 4 -1 1 4 -1 5 -1 3 -1 2 -1 -2	1220	1
2 -1 3 6 -1 2 -1 2 -1 1 -1 6 -1 -2	192	1
1 -1 1 -1 2 5 -1 4 5 -1 2 -1 -2	3304	1
1 6 -1 1 -1 4 5 -1 2 -1 1 -1 -2	730	1
4 -1 4 -1 1 2 4 5 -1 4 -1 -2	1943	1
3 4 -1 5 -1 1 2 -1 1 -1 3 -1 -2	1388	1
1 -1 1 -1 5 -1 1 3 -1 -2	12081	1
1 4 -1 1 -1 1 5 -1 2 -1 2 -1 -2	3223	1
2 5 -1 1 -1 4 -1 2 3 -1 1 -1 -2	1523	1
1 5 -1 3 -1 1 -1 1 -1 1 -1 1 -1 -2	6877	1
1 -1 4 -1 1 -1 1 6 -1 1 -1 2 -1 -2	557	1
4 -1 1 -1 3 -1 1 2 3 -1 1 -1 -2	1394	1
1 -1 2 3 -1 4 -1 1 -1 3 -1 -2	1540	1
3 4 -1 4 5 -1 2 3 -1 -2	1501	1
5 -1 1 2 -1 2 5 -1 3 4 -1 -2	1683	1
1 -1 1 4 6 -1 5 -1 1 -1 2 -1 -2	534	1
1 -1 4 -1 1 -1 1 -1 1 -1 2 -1 -2	3496	1
1 -1 1 5 6 -1 2 5 -1 6 -1 -2	1001	1
1 -1 4 -1 1 -1 3 -1 4 5 -1 1 -1 -2	1874	1
5 -1 1 5 -1 4 -1 1 -1 5 -1 1 -1 -2	6057	1
4 -1 5 -1 3 -1 1 -1 1 -1 1 -1 -2	2884	1
1 -1 2 -1 1 -1 2 5 -1 3 5 -1 -2	3704	1
1 6 -1 1 -1 2 3 -1 1 -1 5 -1 -2	657	1
5 -1 2 -1 1 3 -1 1 -1 2 3 -1 -2	2381	1
6 -1 1 5 -1 5 -1 1 2 4 -1 -2	744	1
1 6 -1 3 -1 6 -1 5 -1 3 -1 2 -1 -2	279	1
4 -1 3 -1 1 3 -1 1 4 -1 5 -1 -2	1813	1
5 -1 1 -1 1 3 -1 3 -1 1 -1 5 -1 -2	4848	1
4 -1 1 2 -1 1 3 -1 5 -1 2 -1 -2	1666	1
2 -1 5 -1 1 5 -1 2 5 -1 1 -1 -2	8534	1
1 2 -1 1 3 -1 5 -1 4 -1 1 -1 -2	2031	1
1 5 -1 1 3 -1 1 -1 1 2 -1 -2	5290	1
6 -1 5 -1 4 -1 1 2 -1 5 -1 1 -1 -2	565	1
1 -1 1 5 -1 1 -1 2 4 -1 4 -1 -2	2554	1
1 4 5 -1 1 5 -1 1 -1 1 -1 -2	8360	1
1 -1 1 -1 1 -1 3 -1 1 -1 4 -1 4 -1 -2	1294	1
1 2 -1 1 -1 1 -1 2 4 -1 1 -1 -2	2773	1
1 4 -1 1 2 5 -1 2 -1 1 -1 -2	3784	1
1 -1 5 -1 1 -1 1 -1 3 -1 1 -1 3 -1 -2	3477	1
1 5 -1 3 -1 1 -1 1 -1 2 -1 1 -1 -2	3662	1
1 -1 6 -1 2 3 5 -1 2 -1 4 -1 -2	343	1
3 5 -1 1 -1 1 -1 3 -1 1 4 -1 -2	2568	1
1 5 -1 2 -1 2 3 -1 3 5 -1 -2	3099	1
6 -1 5 -1 4 -1 1 5 -1 3 -1 5 -1 -2	483	1
4 -1 1 -1 1 -1 1 3 -1 1 3 -1 -2	2578	1
6 -1 2 -1 4 6 -1 1 -1 3 -1 -2	227	1
6 -1 5 -1 2 -1 1 4 -1 6 -1 -2	441	1
2 -1 1 6 -1 5 -1 1 -1 1 -1 2 -1 -2	876	1
1 -1 5 -1 5 -1 1 -1 1 -1 1 -1 1 -1 -2	12720	1
1 6 -1 1 -1 3 -1 5 -1 1 2 -1 -2	733	1
2 -1 3 -1 6 -1 2 4 -1 1 -1 1 -1 -2	273	1
1 5 -1 5 -1 5 -1 2 -1 1 2 -1 -2	8305	1
4 -1 2 -1 4 -1 1 -1 6 -1 6 -1 -2	234	1
1 2 5 -1 1 -1 2 -1 1 -1 5 -1 -2	8078	1
4 -1 1 -1 1 -1 1 -1 1 2 5 -1 -2	3957	1
1 -1 5 -1 4 -1 1 -1 5 -1 6 -1 6 -1 -2	298	1
1 -1 1 5 -1 1 2 -1 4 -1 4 -1 -2	2942	1
5 -1 1 5 -1 2 -1 1 -1 1 -1 1 -1 -2	8592	1
3 4 -1 3 -1 3 -1 1 -1 1 3 -1 -2	1572	1
1 3 5 -1 1 -1 1 -1 1 5 -1 -2	9516	1
1 5 -1 1 3 -1 1 -1 2 -1 1 -1 -2	4537	1
1 -1 3 -1 1 5 -1 3 -1 3 5 -1 -2	5384	1
1 -1 5 -1 2 -1 1 2 -1 1 4 -1 -2	3185	1
1 -1 6 -1 1 5 -1 1 5 -1 -2	3440	1
1 4 -1 1 -1 2 5 -1 4 5 -1 -2	3519	1
1 -1 3 -1 5 -1 3 -1 2 -1 1 5 -1 -2	2750	1
3 -1 2 5 -1 1 -1 5 -1 1 -1 5 -1 -2	3574	1
6 -1 1 4 -1 1 -1 1 -1 5 -1 4 -1 -2	611	1
1 -1 6 -1 1 5 -1 1 -1 2 -1 5 -1 -2	1164	1
4 6 -1 1 -1 1 4 -1 1 5 -1 -2	721	1
4 5 -1 3 -1 1 5 -1 4 -1 4 -1 -2	1959	1
1 -1 2 -1 1 -1 1 -1 1 -1 5 -1 -2	9309	1
1 -1 4 5 -1 1 3 -1 1 2 -1 -2	2439	1
2 -1 5 -1 4 -1 6 -1 1 5 -1 1 -1 -2	565	1
3 5 -1 4 5 -1 1 5 -1 5 -1 -2	4106	1
5 -1 1 -1 1 -1 1 -1 5 -1 2 4 -1 -2	2680	1
2 -1 5 6 -1 5 -1 1 -1 1 -1 3 -1 -2	587	1
2 -1 2 -1 2 -1 2 -1 1 2 3 -1 -2	2001	1
5 -1 4 -1 1 -1 2 -1 1 -1 1 -1 -2	3533	1
2 5 -1 5 -1 1 -1 5 -1 1 2 -1 -2	8139	1
1 3 -1 1 5 -1 1 -1 5 -1 6 -1 -2	1216	1
