#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

12327 -1 -2	294	16
12567 -1 -2	890	52
10877 -1 -2	1389	110
10829 -1 -2	207	14
12471 -1 12855 -1 -2	36	1
18547 -1 -2	407	35
12631 -1 -2	293	19
32205 -1 -2	871	45
12547 -1 -2	471	33
34885 -1 -2	937	59
12819 -1 -2	1113	79
12815 -1 -2	704	52
47277 -1 -2	164	12
34925 -1 -2	278	14
12683 -1 12759 -1 -2	43	1
35189 -1 -2	80	8
12827 -1 -2	1017	72
12635 -1 -2	169	15
12683 -1 -2	779	46
12663 -1 -2	1793	112
10307 -1 -2	2797	154
12895 -1 -2	3623	226
48691 -1 -2	101	10
12823 -1 -2	605	35
12621 -1 12763 -1 -2	57	1
12831 -1 -2	1180	74
34897 -1 -2	682	46
33449 -1 -2	3658	228
10315 -1 -2	3449	226
12575 -1 -2	485	41
10853 -1 -2	118	5
33433 -1 -2	891	42
12803 -1 18759 -1 -2	24	1
12659 -1 -2	1006	70
12535 -1 -2	185	5
18719 -1 -2	56	2
12487 -1 -2	2268	126
12723 -1 -2	1267	76
30271 -1 -2	16	2
12371 -1 -2	240	11
12463 -1 -2	797	51
18879 -1 -2	355	32
12491 -1 -2	440	28
12771 -1 -2	671	48
33437 -1 -2	386	17
35205 -1 -2	164	11
33469 -1 -2	3612	228
35201 -1 -2	115	10
12751 -1 -2	1039	81
12899 -1 -2	157	14
33445 -1 -2	186	10
10295 -1 -2	2009	128
12775 -1 -2	438	25
12483 -1 12723 -1 -2	48	1
52425 -1 -2	38	2
10861 -1 32201 -1 -2	58	1
33465 -1 -2	297	19
18755 -1 35157 -1 35177 -1 -2	23	1
10335 -1 -2	1167	90
18447 -1 -2	235	19
12655 -1 -2	758	41
12299 -1 -2	562	24
12747 -1 12775 -1 18799 -1 46289 -1 -2	1	1
33453 -1 -2	651	38
12903 -1 -2	351	30
12559 -1 -2	1099	55
12621 -1 -2	1488	97
33441 -1 -2	260	19
34889 -1 -2	755	41
12419 -1 -2	331	17
35165 -1 -2	232	13
12747 -1 12787 -1 -2	39	1
10339 -1 -2	455	23
32209 -1 -2	516	30
35149 -1 -2	272	11
12671 -1 -2	297	20
10295 -1 12611 -1 -2	65	1
12483 -1 -2	2049	129
12643 -1 -2	251	22
12415 -1 -2	96	4
12367 -1 33437 -1 -2	32	1
47703 -1 -2	65	2
18443 -1 46281 -1 -2	11	1
47953 -1 -2	561	38
12611 -1 -2	587	35
12779 -1 -2	794	55
12411 -1 -2	797	48
12523 -1 -2	449	30
12479 -1 -2	731	34
18619 -1 -2	457	27
18727 -1 -2	222	6
10303 -1 -2	461	34
35213 -1 -2	358	22
12783 -1 -2	945	55
10303 -1 12683 -1 -2	41	1
10881 -1 -2	389	27
18423 -1 -2	347	23
32213 -1 -2	1616	100
18559 -1 18587 -1 -2	33	1
10331 -1 -2	690	60
12727 -1 -2	486	35
12603 -1 -2	648	46
20807 -1 -2	475	25
35153 -1 -2	240	18
47687 -1 -2	195	10
12807 -1 -2	583	38
18815 -1 -2	171	8
12703 -1 -2	1948	144
18511 -1 -2	145	6
