#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

3 -1 -2	2780	732
1 -1 -2	7838	5085
5 -1 -2	8351	2062
4 -1 -2	2342	599
1 3 -1 -2	1990	4
2 -1 2 -1 -2	2785	6
6 -1 -2	769	167
2 -1 -2	3487	1003
3 -1 5 -1 -2	2238	7
1 -1 1 -1 -2	7057	69
1 -1 5 -1 -2	6100	27
5 -1 1 -1 -2	6159	34
4 -1 1 -1 -2	1818	11
1 -1 4 -1 -2	1827	12
5 -1 3 -1 3 -1 -2	1631	1
5 -1 4 -1 -2	1935	4
3 -1 6 -1 -2	262	1
1 -1 3 -1 1 -1 -2	1808	1
2 -1 3 -1 -2	1079	1
1 -1 2 -1 -2	2702	16
2 -1 5 -1 -2	2853	5
1 2 -1 -2	2432	5
1 -1 3 -1 -2	2144	15
1 -1 1 4 -1 -2	1516	1
3 -1 4 -1 -2	767	2
2 -1 1 -1 -2	2669	14
4 -1 5 -1 -2	1909	4
1 -1 1 -1 2 -1 -2	2281	1
1 -1 1 -1 5 -1 -2	5175	1
1 5 -1 -2	5856	18
4 -1 3 -1 3 -1 -2	531	1
3 -1 1 -1 -2	2148	6
6 -1 2 -1 -2	340	3
5 -1 3 -1 -2	2216	3
5 -1 2 -1 -2	2906	6
5 -1 5 -1 -2	7697	16
6 -1 1 -1 -2	604	6
3 -1 2 -1 -2	1066	4
1 4 -1 -2	1681	7
2 5 -1 -2	2721	9
1 -1 6 -1 -2	618	2
4 -1 4 -1 -2	1787	2
2 -1 6 -1 -2	339	3
2 -1 1 -1 1 -1 -2	2184	1
4 5 -1 -2	1769	2
5 -1 5 -1 1 -1 -2	5339	1
3 5 -1 -2	2122	3
3 4 -1 -2	592	1
3 -1 3 -1 -2	2204	1
1 5 -1 6 -1 -2	519	1
2 4 -1 -2	786	2
5 6 -1 -2	574	1
4 -1 1 -1 1 -1 -2	1496	1
1 -1 2 -1 4 -1 -2	797	1
6 -1 3 -1 -2	247	1
6 -1 4 -1 -2	253	1
6 -1 6 -1 -2	501	1
5 -1 1 -1 5 -1 -2	5266	1
1 6 -1 -2	555	1
2 6 -1 -2	246	1
1 -1 5 -1 1 -1 -2	5164	1
5 -1 1 -1 1 -1 -2	5157	1
5 -1 6 -1 -2	630	1
