#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 4 -1 1 2 5 -1 2 -1 5 -1 -2	3785	1
1 -1 2 3 5 -1 1 -1 3 -1 1 -1 -2	2943	1
1 5 -1 2 -1 5 -1 1 -1 -2	15823	1
5 -1 1 3 -1 1 -1 1 2 -1 5 -1 -2	4392	1
1 2 -1 2 -1 4 -1 5 -1 2 4 -1 -2	1747	1
1 -1 1 5 -1 5 -1 2 -1 1 -1 5 -1 -2	8630	1
4 5 6 -1 4 -1 3 4 -1 -2	402	1
1 -1 5 -1 4 -1 1 -1 1 -1 1 2 -1 -2	3168	1
4 -1 3 4 -1 5 -1 5 -1 4 -1 1 -1 -2	1249	1
1 3 -1 1 -1 1 5 -1 2 -1 4 -1 -2	2083	1
1 -1 5 6 -1 3 4 5 -1 4 -1 -2	490	1
2 4 -1 5 -1 3 4 5 -1 1 -1 -2	1371	1
1 4 5 -1 4 5 -1 2 -1 -2	4499	1
1 -1 3 -1 1 3 5 -1 5 -1 3 -1 -2	5121	1
5 -1 1 -1 1 -1 3 -1 6 -1 1 -1 -2	954	1
2 5 -1 1 -1 5 -1 5 -1 1 -1 -2	11693	1
1 3 -1 2 -1 5 -1 3 4 -1 3 -1 -2	1140	1
4 -1 5 -1 3 -1 1 4 -1 2 -1 5 -1 -2	1229	1
2 3 -1 2 -1 5 -1 -2	5679	1
2 -1 5 -1 1 -1 1 -1 3 -1 2 -1 1 -1 -2	1958	1
1 4 -1 2 -1 1 2 -1 4 5 -1 -2	2843	1
2 -1 1 -1 1 5 -1 5 -1 4 -1 -2	4490	1
5 -1 5 -1 1 2 3 -1 1 -1 5 -1 -2	3585	1
1 -1 2 -1 1 4 5 -1 1 3 -1 -2	2446	1
2 3 5 -1 1 2 -1 6 -1 1 -1 -2	661	1
1 3 -1 1 -1 1 2 3 -1 2 -1 -2	2887	1
1 -1 1 -1 3 -1 1 5 -1 4 -1 -2	3716	1
5 -1 1 2 5 -1 5 -1 5 -1 -2	13302	1
6 -1 1 -1 1 2 3 4 -1 3 -1 -2	310	1
1 -1 5 -1 1 5 -1 3 -1 1 2 -1 -2	4620	1
3 -1 6 -1 1 3 -1 1 -1 1 -1 -2	950	1
2 -1 2 -1 2 -1 1 6 -1 1 -1 5 -1 -2	699	1
1 -1 2 -1 1 -1 6 -1 1 -1 1 -1 -2	1177	1
2 3 -1 1 -1 1 -1 3 -1 1 3 -1 -2	2470	1
1 -1 1 -1 1 -1 5 -1 2 -1 4 -1 -2	3511	1
4 -1 1 2 -1 1 -1 1 -1 2 -1 1 -1 -2	2501	1
1 -1 2 -1 1 -1 1 5 -1 1 5 -1 -2	10984	2
2 5 -1 3 -1 1 -1 1 5 -1 1 -1 -2	4544	1
1 5 -1 1 -1 1 5 -1 5 -1 1 -1 -2	25012	1
5 -1 1 4 -1 1 -1 1 3 5 -1 -2	3831	1
1 -1 5 6 -1 4 -1 4 -1 1 -1 -2	874	1
2 3 -1 1 -1 1 3 -1 1 -1 5 -1 -2	2970	1
5 -1 5 -1 5 -1 6 -1 1 2 -1 -2	1517	1
1 5 -1 1 -1 5 -1 1 5 -1 -2	33409	1
1 4 -1 3 4 -1 1 5 -1 5 -1 -2	2552	1
1 -1 2 3 -1 1 5 -1 2 -1 2 -1 -2	2593	1
3 -1 5 6 -1 3 -1 1 -1 3 -1 1 -1 -2	554	1
2 -1 3 5 -1 1 -1 2 5 -1 5 -1 -2	3674	1
1 2 -1 3 -1 1 -1 3 -1 1 -1 -2	3686	1
2 -1 1 -1 1 3 -1 2 -1 2 -1 1 -1 -2	2234	1
5 -1 6 -1 1 3 -1 5 -1 1 -1 -2	1265	1
1 -1 4 -1 1 -1 1 5 -1 1 -1 -2	8279	1
2 -1 1 -1 5 -1 1 -1 5 -1 2 -1 5 -1 -2	4407	1
1 -1 3 -1 1 4 -1 3 -1 1 3 -1 -2	2101	1
4 -1 4 -1 3 -1 1 3 5 -1 -2	2511	1
6 -1 1 3 4 -1 1 -1 2 -1 5 -1 -2	372	1
5 -1 2 3 -1 5 -1 3 -1 2 -1 5 -1 -2	1941	1
2 -1 1 -1 2 4 -1 3 -1 4 -1 5 -1 -2	889	1
1 2 3 -1 1 3 -1 1 -1 1 -1 -2	3453	1
3 6 -1 1 3 -1 1 -1 4 -1 1 -1 -2	369	1
3 -1 4 -1 1 5 -1 3 5 -1 5 -1 -2	2673	1
1 5 -1 1 5 -1 1 5 -1 1 -1 -2	30865	1
1 -1 1 -1 1 -1 3 -1 3 -1 1 -1 -2	5697	1
1 -1 1 2 3 -1 3 -1 6 -1 6 -1 -2	298	1
1 -1 1 -1 1 -1 3 -1 3 -1 -2	8666	1
5 -1 1 2 3 4 -1 1 -1 5 -1 -2	1421	1
3 -1 1 -1 5 6 -1 2 -1 1 3 -1 -2	614	1
3 4 5 -1 1 5 -1 1 4 -1 -2	2782	1
5 -1 2 -1 4 -1 1 -1 2 4 -1 6 -1 -2	300	1
1 -1 1 2 3 -1 1 -1 6 -1 2 -1 -2	529	1
4 5 -1 1 -1 1 4 -1 1 2 -1 -2	3576	1
5 -1 1 5 -1 1 4 -1 1 -1 5 -1 -2	7474	1
3 -1 5 -1 1 4 -1 3 5 -1 6 -1 -2	485	1
2 6 -1 1 3 4 -1 2 5 -1 -2	381	1
1 -1 4 5 -1 1 4 -1 4 -1 5 -1 -2	4202	1
2 5 -1 2 -1 5 -1 1 3 -1 -2	4803	1
1 -1 4 -1 1 2 -1 1 -1 2 -1 4 -1 -2	1698	1
3 -1 1 -1 2 3 -1 3 -1 1 5 -1 -2	2430	1
3 -1 4 -1 2 5 -1 4 -1 5 -1 1 -1 -2	1168	1
1 5 -1 2 6 -1 5 -1 2 5 -1 -2	1152	1
