#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

10 -1 1 -1 -2	1096	13
7 -1 -2	4886	544
9 -1 7 -1 -2	3532	10
1 -1 -2	6728	2411
8 -1 -2	5894	681
4 -1 5 -1 -2	1287	7
2 -1 -2	3157	550
5 -1 -2	7217	1171
4 -1 -2	1716	226
1 5 -1 -2	4507	61
9 -1 -2	6931	769
9 -1 4 -1 -2	1262	7
1 8 -1 -2	3867	44
2 -1 7 -1 1 -1 -2	1193	2
10 -1 -2	1518	143
9 -1 1 -1 -2	4773	69
1 7 -1 -2	3112	34
1 9 -1 -2	4449	42
1 -1 1 -1 -2	5966	185
6 -1 -2	558	69
1 -1 5 -1 -2	4855	65
8 -1 1 -1 -2	4103	46
8 9 -1 -2	3857	15
5 -1 3 -1 -2	1666	7
3 -1 -2	2203	380
5 -1 3 -1 9 -1 -2	1173	1
4 -1 1 -1 -2	1228	23
8 -1 1 -1 5 -1 1 -1 -2	2299	1
1 -1 2 -1 -2	2258	42
1 -1 9 -1 -2	4702	73
9 -1 5 -1 5 -1 -2	4129	1
5 -1 1 -1 -2	4870	76
1 3 -1 -2	1388	18
8 -1 1 -1 3 -1 -2	1006	1
4 -1 4 -1 -2	1283	11
1 8 -1 1 -1 -2	3402	6
1 -1 9 -1 2 8 -1 -2	1020	1
8 -1 2 -1 -2	2049	13
7 -1 9 -1 -2	3558	19
1 -1 8 -1 -2	4149	55
8 -1 5 -1 -2	4320	28
1 9 -1 1 8 -1 5 -1 -2	1846	1
1 -1 1 8 -1 -2	3420	4
1 -1 7 -1 -2	3355	41
7 -1 8 -1 -2	3082	14
3 -1 7 -1 -2	1139	2
4 -1 8 -1 -2	1113	9
5 8 -1 -2	4141	23
9 -1 2 -1 -2	2319	13
2 8 -1 9 -1 -2	1335	1
3 -1 9 -1 -2	1579	10
5 -1 8 -1 5 -1 -2	3636	2
5 -1 5 -1 -2	6418	52
10 -1 7 -1 -2	883	5
4 7 -1 -2	754	5
3 -1 8 -1 -2	1407	13
2 -1 1 -1 9 -1 7 -1 2 3 -1 -2	132	1
7 -1 7 -1 -2	4116	18
8 -1 10 -1 10 -1 -2	566	1
10 -1 1 -1 5 -1 5 -1 -2	603	1
1 -1 8 -1 1 5 -1 5 -1 -2	1946	1
5 -1 9 -1 -2	4953	29
4 -1 3 -1 -2	445	2
2 -1 1 -1 -2	2246	44
1 3 8 -1 -2	782	2
7 -1 2 -1 4 -1 -2	351	1
1 10 -1 -2	959	8
5 -1 4 -1 5 -1 -2	1060	1
3 -1 1 8 -1 1 -1 7 -1 -2	452	1
7 -1 10 -1 1 -1 7 -1 5 -1 -2	285	1
2 7 -1 7 -1 -2	1202	1
1 -1 7 -1 1 -1 10 -1 -2	473	1
7 -1 1 -1 -2	3422	37
1 4 -1 -2	1096	7
8 -1 1 -1 1 -1 -2	3463	7
3 8 -1 -2	1189	11
8 -1 1 -1 7 -1 -2	2164	2
