#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

139 -1 158 -1 8 -1 95 -1 176 -1 10 -1 77 -1 17 -1 54 -1 114 -1 18 -1 107 -1 154 -1 167 -1 22 -1 26 -1 116 -1 74 -1 84 -1 100 -1 69 -1 117 -1 70 -1 78 -1 41 -1 82 -1 92 -1 131 -1 118 -1 179 -1 143 -1 108 -1 149 -1 245 -1 104 -1 122 -1 254 -1 -2	1	1
5 -1 47 -1 83 -1 68 -1 11 -1 6 -1 15 -1 23 -1 36 -1 69 -1 56 -1 114 -1 120 -1 72 -1 73 -1 133 -1 63 -1 143 -1 34 -1 144 -1 150 -1 46 -1 171 -1 66 -1 245 -1 25 -1 246 -1 39 -1 262 -1 -2	1	1
2 -1 23 -1 8 -1 107 -1 29 -1 51 -1 17 -1 35 -1 52 -1 65 -1 18 -1 19 -1 71 -1 86 -1 32 -1 108 -1 113 -1 93 -1 94 -1 77 -1 135 -1 54 -1 100 -1 95 -1 106 -1 169 -1 6 -1 185 -1 189 -1 70 -1 62 -1 101 -1 247 -1 253 -1 79 -1 257 -1 -2	1	1
1 -1 110 -1 166 -1 8 -1 95 -1 176 -1 10 -1 153 -1 13 -1 90 -1 19 -1 107 -1 167 -1 129 -1 27 -1 42 -1 75 -1 36 -1 57 -1 79 -1 131 -1 132 -1 143 -1 144 -1 147 -1 141 -1 171 -1 245 -1 122 -1 29 -1 85 -1 -2	1	1
5 -1 83 -1 6 -1 30 -1 18 -1 26 -1 12 -1 69 -1 49 -1 108 -1 37 -1 117 -1 139 -1 1 -1 34 -1 51 -1 144 -1 67 -1 147 -1 149 -1 52 -1 171 -1 66 -1 38 -1 245 -1 25 -1 -2	1	1
2 -1 46 -1 107 -1 83 -1 72 -1 13 -1 17 -1 18 -1 20 -1 19 -1 53 -1 32 -1 110 -1 113 -1 103 -1 133 -1 96 -1 169 -1 33 -1 190 -1 245 -1 247 -1 256 -1 258 -1 -2	1	1
15 -1 107 -1 12 -1 13 -1 35 -1 30 -1 22 -1 19 -1 38 -1 24 -1 99 -1 50 -1 108 -1 67 -1 113 -1 117 -1 94 -1 132 -1 68 -1 115 -1 135 -1 143 -1 106 -1 63 -1 33 -1 79 -1 84 -1 258 -1 -2	1	1
46 -1 23 -1 1 -1 107 -1 9 -1 29 -1 83 -1 10 -1 12 -1 13 -1 20 -1 71 -1 53 -1 38 -1 108 -1 105 -1 113 -1 134 -1 135 -1 95 -1 147 -1 153 -1 106 -1 169 -1 6 -1 182 -1 185 -1 63 -1 189 -1 33 -1 70 -1 59 -1 79 -1 258 -1 -2	1	1
17 -1 24 -1 20 -1 31 -1 44 -1 38 -1 52 -1 37 -1 28 -1 113 -1 114 -1 15 -1 122 -1 14 -1 134 -1 33 -1 139 -1 21 -1 147 -1 66 -1 149 -1 180 -1 189 -1 190 -1 247 -1 253 -1 -2	1	1
2 -1 46 -1 73 -1 15 -1 23 -1 39 -1 29 -1 35 -1 20 -1 109 -1 71 -1 53 -1 86 -1 41 -1 38 -1 50 -1 108 -1 110 -1 93 -1 94 -1 104 -1 133 -1 77 -1 135 -1 143 -1 69 -1 100 -1 96 -1 169 -1 6 -1 31 -1 185 -1 187 -1 33 -1 101 -1 247 -1 59 -1 84 -1 -2	1	1
2 -1 121 -1 107 -1 9 -1 99 -1 10 -1 45 -1 109 -1 66 -1 17 -1 46 -1 26 -1 108 -1 35 -1 25 -1 1 -1 79 -1 49 -1 117 -1 119 -1 70 -1 76 -1 101 -1 146 -1 105 -1 163 -1 168 -1 249 -1 253 -1 91 -1 259 -1 153 -1 262 -1 -2	1	1
5 -1 15 -1 118 -1 10 -1 13 -1 17 -1 35 -1 19 -1 71 -1 86 -1 32 -1 36 -1 38 -1 24 -1 110 -1 93 -1 103 -1 134 -1 115 -1 153 -1 31 -1 190 -1 101 -1 256 -1 -2	1	1
23 -1 39 -1 107 -1 118 -1 29 -1 83 -1 13 -1 42 -1 35 -1 30 -1 109 -1 71 -1 85 -1 32 -1 38 -1 67 -1 105 -1 117 -1 103 -1 104 -1 133 -1 68 -1 145 -1 96 -1 169 -1 185 -1 63 -1 190 -1 247 -1 256 -1 258 -1 -2	1	1
134 -1 9 -1 138 -1 17 -1 114 -1 53 -1 167 -1 58 -1 31 -1 83 -1 84 -1 35 -1 100 -1 36 -1 99 -1 70 -1 41 -1 82 -1 170 -1 131 -1 178 -1 143 -1 147 -1 141 -1 149 -1 245 -1 246 -1 247 -1 29 -1 254 -1 -2	1	1
76 -1 39 -1 18 -1 24 -1 61 -1 82 -1 44 -1 40 -1 98 -1 110 -1 132 -1 4 -1 66 -1 19 -1 143 -1 11 -1 174 -1 83 -1 209 -1 227 -1 230 -1 65 -1 80 -1 247 -1 -2	1	1
73 -1 8 -1 107 -1 118 -1 29 -1 10 -1 12 -1 13 -1 42 -1 51 -1 17 -1 52 -1 71 -1 38 -1 50 -1 108 -1 110 -1 103 -1 77 -1 135 -1 95 -1 149 -1 96 -1 169 -1 6 -1 182 -1 111 -1 185 -1 63 -1 187 -1 189 -1 70 -1 59 -1 256 -1 79 -1 257 -1 84 -1 -2	1	1
13 -1 17 -1 15 -1 44 -1 50 -1 27 -1 28 -1 54 -1 8 -1 36 -1 41 -1 113 -1 57 -1 117 -1 120 -1 70 -1 72 -1 133 -1 136 -1 3 -1 49 -1 144 -1 71 -1 163 -1 190 -1 212 -1 252 -1 48 -1 -2	1	1
46 -1 118 -1 17 -1 35 -1 65 -1 18 -1 30 -1 26 -1 41 -1 36 -1 82 -1 38 -1 24 -1 50 -1 108 -1 110 -1 105 -1 113 -1 93 -1 117 -1 68 -1 135 -1 69 -1 100 -1 95 -1 153 -1 31 -1 63 -1 187 -1 33 -1 253 -1 79 -1 -2	1	1
5 -1 1 -1 107 -1 118 -1 9 -1 10 -1 13 -1 35 -1 65 -1 18 -1 109 -1 22 -1 71 -1 53 -1 86 -1 41 -1 24 -1 108 -1 67 -1 110 -1 94 -1 132 -1 68 -1 134 -1 115 -1 143 -1 54 -1 145 -1 147 -1 106 -1 6 -1 182 -1 189 -1 247 -1 253 -1 257 -1 -2	1	1
46 -1 73 -1 118 -1 29 -1 72 -1 51 -1 17 -1 35 -1 65 -1 71 -1 36 -1 82 -1 99 -1 50 -1 67 -1 110 -1 93 -1 133 -1 54 -1 100 -1 95 -1 153 -1 187 -1 190 -1 70 -1 247 -1 -2	1	1
46 -1 8 -1 1 -1 107 -1 9 -1 29 -1 109 -1 19 -1 36 -1 24 -1 99 -1 108 -1 67 -1 105 -1 113 -1 93 -1 117 -1 103 -1 104 -1 77 -1 135 -1 143 -1 69 -1 95 -1 149 -1 153 -1 182 -1 111 -1 185 -1 189 -1 33 -1 245 -1 62 -1 59 -1 256 -1 -2	1	1
73 -1 23 -1 1 -1 39 -1 29 -1 12 -1 13 -1 52 -1 19 -1 53 -1 36 -1 82 -1 99 -1 105 -1 113 -1 93 -1 103 -1 77 -1 143 -1 54 -1 69 -1 106 -1 6 -1 31 -1 185 -1 63 -1 187 -1 70 -1 101 -1 59 -1 84 -1 258 -1 -2	1	1
15 -1 1 -1 107 -1 9 -1 83 -1 10 -1 42 -1 18 -1 109 -1 26 -1 53 -1 32 -1 41 -1 38 -1 24 -1 67 -1 117 -1 132 -1 103 -1 133 -1 100 -1 145 -1 31 -1 187 -1 189 -1 190 -1 62 -1 258 -1 -2	1	1
2 -1 95 -1 121 -1 186 -1 8 -1 61 -1 99 -1 39 -1 45 -1 110 -1 96 -1 109 -1 13 -1 178 -1 82 -1 125 -1 155 -1 141 -1 156 -1 31 -1 157 -1 35 -1 25 -1 79 -1 49 -1 117 -1 58 -1 119 -1 106 -1 136 -1 137 -1 105 -1 163 -1 168 -1 247 -1 253 -1 91 -1 97 -1 259 -1 145 -1 -2	1	1
1 -1 107 -1 12 -1 72 -1 42 -1 51 -1 35 -1 52 -1 30 -1 53 -1 32 -1 82 -1 38 -1 67 -1 93 -1 68 -1 135 -1 100 -1 95 -1 147 -1 149 -1 106 -1 169 -1 6 -1 31 -1 111 -1 185 -1 63 -1 33 -1 70 -1 245 -1 59 -1 256 -1 84 -1 -2	1	1
2 -1 23 -1 8 -1 12 -1 42 -1 52 -1 30 -1 109 -1 85 -1 26 -1 86 -1 82 -1 24 -1 50 -1 67 -1 105 -1 132 -1 6 -1 31 -1 111 -1 189 -1 245 -1 257 -1 -2	1	1
46 -1 73 -1 5 -1 23 -1 107 -1 12 -1 51 -1 35 -1 52 -1 18 -1 30 -1 86 -1 36 -1 82 -1 38 -1 67 -1 93 -1 133 -1 68 -1 135 -1 143 -1 96 -1 111 -1 189 -1 70 -1 253 -1 59 -1 79 -1 -2	1	1
46 -1 15 -1 23 -1 107 -1 12 -1 35 -1 52 -1 20 -1 22 -1 19 -1 36 -1 24 -1 99 -1 113 -1 93 -1 117 -1 132 -1 115 -1 149 -1 106 -1 169 -1 6 -1 33 -1 245 -1 256 -1 -2	1	1
166 -1 113 -1 40 -1 153 -1 168 -1 13 -1 130 -1 17 -1 54 -1 114 -1 18 -1 19 -1 107 -1 22 -1 109 -1 165 -1 35 -1 100 -1 36 -1 117 -1 79 -1 170 -1 179 -1 94 -1 178 -1 108 -1 -2	1	1
1 -1 120 -1 24 -1 61 -1 17 -1 8 -1 113 -1 9 -1 73 -1 87 -1 69 -1 77 -1 65 -1 107 -1 22 -1 70 -1 80 -1 28 -1 110 -1 143 -1 181 -1 63 -1 39 -1 108 -1 246 -1 -2	1	1
186 -1 99 -1 110 -1 124 -1 109 -1 14 -1 179 -1 82 -1 125 -1 20 -1 23 -1 148 -1 155 -1 31 -1 68 -1 108 -1 157 -1 35 -1 56 -1 73 -1 78 -1 1 -1 79 -1 49 -1 113 -1 94 -1 106 -1 101 -1 120 -1 145 -1 262 -1 135 -1 -2	1	1
110 -1 139 -1 8 -1 95 -1 113 -1 140 -1 10 -1 153 -1 168 -1 89 -1 138 -1 54 -1 90 -1 114 -1 53 -1 107 -1 115 -1 27 -1 31 -1 84 -1 42 -1 99 -1 117 -1 82 -1 119 -1 179 -1 178 -1 108 -1 141 -1 149 -1 150 -1 104 -1 29 -1 -2	1	1
23 -1 83 -1 72 -1 42 -1 52 -1 18 -1 19 -1 41 -1 36 -1 24 -1 99 -1 132 -1 135 -1 69 -1 153 -1 106 -1 169 -1 31 -1 63 -1 33 -1 79 -1 257 -1 258 -1 -2	1	1
5 -1 15 -1 23 -1 8 -1 107 -1 12 -1 72 -1 42 -1 30 -1 20 -1 19 -1 71 -1 26 -1 53 -1 50 -1 105 -1 93 -1 132 -1 68 -1 135 -1 145 -1 149 -1 106 -1 6 -1 111 -1 190 -1 245 -1 101 -1 79 -1 257 -1 84 -1 258 -1 -2	1	1
46 -1 73 -1 1 -1 39 -1 83 -1 10 -1 13 -1 42 -1 35 -1 65 -1 18 -1 30 -1 22 -1 19 -1 82 -1 108 -1 113 -1 117 -1 104 -1 135 -1 145 -1 95 -1 147 -1 169 -1 6 -1 111 -1 189 -1 33 -1 253 -1 257 -1 -2	1	1
2 -1 23 -1 8 -1 83 -1 10 -1 42 -1 35 -1 52 -1 65 -1 22 -1 85 -1 53 -1 86 -1 24 -1 108 -1 67 -1 110 -1 105 -1 93 -1 94 -1 104 -1 133 -1 115 -1 145 -1 169 -1 31 -1 111 -1 33 -1 190 -1 70 -1 101 -1 256 -1 257 -1 84 -1 -2	1	1
2 -1 15 -1 118 -1 13 -1 17 -1 35 -1 65 -1 22 -1 71 -1 32 -1 24 -1 99 -1 50 -1 113 -1 93 -1 103 -1 77 -1 115 -1 143 -1 100 -1 147 -1 153 -1 182 -1 189 -1 33 -1 190 -1 257 -1 -2	1	1
23 -1 83 -1 10 -1 72 -1 13 -1 17 -1 35 -1 30 -1 109 -1 22 -1 85 -1 32 -1 36 -1 82 -1 38 -1 24 -1 99 -1 105 -1 93 -1 117 -1 94 -1 103 -1 133 -1 68 -1 54 -1 100 -1 153 -1 31 -1 111 -1 185 -1 189 -1 33 -1 253 -1 256 -1 -2	1	1
2 -1 8 -1 61 -1 9 -1 39 -1 96 -1 109 -1 13 -1 66 -1 143 -1 17 -1 46 -1 156 -1 31 -1 68 -1 108 -1 35 -1 79 -1 57 -1 113 -1 76 -1 84 -1 94 -1 67 -1 163 -1 249 -1 120 -1 91 -1 145 -1 262 -1 175 -1 268 -1 -2	1	1
5 -1 39 -1 107 -1 118 -1 10 -1 12 -1 72 -1 18 -1 22 -1 19 -1 85 -1 26 -1 41 -1 36 -1 99 -1 108 -1 110 -1 105 -1 94 -1 103 -1 104 -1 133 -1 68 -1 143 -1 100 -1 187 -1 190 -1 70 -1 101 -1 253 -1 256 -1 79 -1 -2	1	1
61 -1 4 -1 7 -1 17 -1 113 -1 10 -1 98 -1 73 -1 76 -1 14 -1 15 -1 69 -1 77 -1 88 -1 65 -1 19 -1 111 -1 99 -1 103 -1 80 -1 117 -1 30 -1 56 -1 127 -1 132 -1 133 -1 68 -1 16 -1 143 -1 102 -1 219 -1 223 -1 108 -1 253 -1 259 -1 -2	1	1
110 -1 112 -1 139 -1 158 -1 176 -1 168 -1 77 -1 14 -1 138 -1 17 -1 53 -1 180 -1 107 -1 22 -1 26 -1 58 -1 42 -1 75 -1 99 -1 69 -1 70 -1 79 -1 170 -1 132 -1 94 -1 144 -1 108 -1 171 -1 149 -1 245 -1 246 -1 104 -1 122 -1 254 -1 85 -1 259 -1 -2	1	1
5 -1 8 -1 39 -1 9 -1 22 -1 82 -1 38 -1 24 -1 67 -1 110 -1 117 -1 94 -1 77 -1 143 -1 95 -1 106 -1 111 -1 189 -1 59 -1 -2	1	1
110 -1 134 -1 166 -1 95 -1 113 -1 176 -1 10 -1 153 -1 168 -1 89 -1 130 -1 138 -1 114 -1 180 -1 22 -1 116 -1 27 -1 109 -1 84 -1 75 -1 99 -1 69 -1 57 -1 78 -1 41 -1 94 -1 141 -1 171 -1 150 -1 104 -1 247 -1 85 -1 259 -1 -2	1	1
110 -1 112 -1 113 -1 153 -1 89 -1 130 -1 17 -1 18 -1 53 -1 180 -1 19 -1 167 -1 22 -1 26 -1 28 -1 74 -1 84 -1 42 -1 36 -1 99 -1 78 -1 41 -1 82 -1 170 -1 143 -1 141 -1 149 -1 122 -1 254 -1 259 -1 -2	1	1
13 -1 67 -1 54 -1 17 -1 22 -1 72 -1 60 -1 45 -1 40 -1 79 -1 47 -1 56 -1 132 -1 4 -1 66 -1 133 -1 139 -1 16 -1 143 -1 20 -1 64 -1 96 -1 163 -1 83 -1 41 -1 227 -1 85 -1 246 -1 247 -1 -2	1	1
17 -1 8 -1 113 -1 67 -1 101 -1 87 -1 15 -1 69 -1 88 -1 107 -1 19 -1 111 -1 13 -1 70 -1 27 -1 117 -1 30 -1 31 -1 114 -1 64 -1 133 -1 68 -1 89 -1 137 -1 95 -1 16 -1 172 -1 63 -1 108 -1 253 -1 71 -1 -2	1	1
46 -1 8 -1 118 -1 9 -1 12 -1 72 -1 35 -1 65 -1 18 -1 109 -1 22 -1 71 -1 85 -1 26 -1 86 -1 67 -1 132 -1 103 -1 134 -1 115 -1 135 -1 54 -1 95 -1 153 -1 106 -1 6 -1 31 -1 189 -1 33 -1 70 -1 247 -1 257 -1 258 -1 -2	1	1
67 -1 39 -1 15 -1 54 -1 17 -1 36 -1 18 -1 72 -1 24 -1 61 -1 53 -1 82 -1 117 -1 6 -1 124 -1 16 -1 19 -1 64 -1 96 -1 180 -1 41 -1 231 -1 232 -1 235 -1 84 -1 -2	1	1
112 -1 134 -1 139 -1 166 -1 9 -1 176 -1 10 -1 153 -1 13 -1 138 -1 90 -1 114 -1 18 -1 180 -1 19 -1 167 -1 22 -1 28 -1 74 -1 109 -1 165 -1 84 -1 100 -1 69 -1 117 -1 57 -1 78 -1 170 -1 108 -1 246 -1 122 -1 29 -1 259 -1 -2	1	1
2 -1 23 -1 1 -1 107 -1 29 -1 12 -1 13 -1 51 -1 52 -1 65 -1 18 -1 30 -1 86 -1 32 -1 41 -1 36 -1 94 -1 132 -1 103 -1 133 -1 68 -1 134 -1 77 -1 143 -1 149 -1 153 -1 31 -1 187 -1 189 -1 33 -1 245 -1 247 -1 253 -1 59 -1 257 -1 258 -1 -2	1	1
8 -1 12 -1 51 -1 85 -1 26 -1 41 -1 38 -1 50 -1 67 -1 117 -1 94 -1 104 -1 133 -1 77 -1 69 -1 100 -1 106 -1 169 -1 70 -1 101 -1 253 -1 -2	1	1
95 -1 121 -1 8 -1 61 -1 9 -1 10 -1 39 -1 110 -1 124 -1 179 -1 46 -1 82 -1 23 -1 26 -1 141 -1 68 -1 35 -1 122 -1 79 -1 57 -1 113 -1 70 -1 76 -1 105 -1 60 -1 259 -1 -2	1	1
2 -1 39 -1 107 -1 9 -1 29 -1 83 -1 12 -1 72 -1 51 -1 35 -1 20 -1 109 -1 22 -1 19 -1 26 -1 32 -1 38 -1 24 -1 113 -1 93 -1 117 -1 132 -1 149 -1 96 -1 106 -1 111 -1 185 -1 63 -1 189 -1 33 -1 70 -1 256 -1 79 -1 257 -1 84 -1 -2	1	1
46 -1 8 -1 118 -1 29 -1 12 -1 72 -1 51 -1 52 -1 65 -1 30 -1 19 -1 36 -1 24 -1 99 -1 113 -1 117 -1 134 -1 135 -1 54 -1 100 -1 145 -1 95 -1 147 -1 153 -1 106 -1 31 -1 111 -1 185 -1 187 -1 189 -1 190 -1 247 -1 59 -1 256 -1 79 -1 257 -1 -2	1	1
13 -1 76 -1 46 -1 40 -1 83 -1 47 -1 53 -1 112 -1 133 -1 145 -1 10 -1 4 -1 163 -1 8 -1 184 -1 9 -1 209 -1 210 -1 245 -1 248 -1 253 -1 57 -1 309 -1 30 -1 -2	1	1
81 -1 9 -1 45 -1 110 -1 109 -1 13 -1 179 -1 20 -1 26 -1 141 -1 68 -1 147 -1 140 -1 1 -1 79 -1 49 -1 84 -1 94 -1 106 -1 105 -1 163 -1 120 -1 60 -1 91 -1 153 -1 268 -1 -2	1	1
2 -1 46 -1 73 -1 39 -1 107 -1 118 -1 9 -1 83 -1 12 -1 17 -1 19 -1 71 -1 32 -1 41 -1 82 -1 108 -1 105 -1 133 -1 115 -1 143 -1 95 -1 106 -1 182 -1 70 -1 247 -1 59 -1 -2	1	1
2 -1 5 -1 39 -1 107 -1 9 -1 29 -1 10 -1 12 -1 13 -1 17 -1 52 -1 65 -1 18 -1 20 -1 22 -1 19 -1 71 -1 86 -1 32 -1 36 -1 108 -1 94 -1 132 -1 103 -1 135 -1 54 -1 153 -1 31 -1 182 -1 111 -1 245 -1 101 -1 257 -1 84 -1 258 -1 -2	1	1
7 -1 17 -1 18 -1 113 -1 98 -1 78 -1 87 -1 99 -1 80 -1 104 -1 28 -1 38 -1 56 -1 93 -1 110 -1 114 -1 97 -1 64 -1 133 -1 68 -1 95 -1 139 -1 83 -1 102 -1 245 -1 39 -1 29 -1 -2	1	1
2 -1 15 -1 8 -1 39 -1 29 -1 83 -1 10 -1 12 -1 13 -1 42 -1 17 -1 52 -1 65 -1 19 -1 71 -1 85 -1 36 -1 82 -1 105 -1 113 -1 93 -1 77 -1 135 -1 54 -1 69 -1 95 -1 106 -1 6 -1 111 -1 185 -1 63 -1 189 -1 190 -1 245 -1 62 -1 253 -1 -2	1	1
15 -1 107 -1 118 -1 10 -1 12 -1 13 -1 17 -1 35 -1 18 -1 30 -1 85 -1 36 -1 38 -1 67 -1 103 -1 68 -1 143 -1 100 -1 147 -1 169 -1 31 -1 182 -1 111 -1 63 -1 245 -1 79 -1 258 -1 -2	1	1
1 -1 112 -1 166 -1 95 -1 176 -1 10 -1 153 -1 168 -1 130 -1 90 -1 154 -1 116 -1 28 -1 74 -1 83 -1 35 -1 42 -1 75 -1 69 -1 70 -1 57 -1 41 -1 82 -1 179 -1 94 -1 171 -1 149 -1 150 -1 11 -1 259 -1 -2	1	1
15 -1 1 -1 9 -1 51 -1 17 -1 65 -1 85 -1 41 -1 38 -1 99 -1 108 -1 117 -1 104 -1 135 -1 95 -1 147 -1 149 -1 96 -1 182 -1 63 -1 187 -1 33 -1 190 -1 245 -1 62 -1 247 -1 253 -1 -2	1	1
73 -1 1 -1 39 -1 9 -1 29 -1 83 -1 12 -1 42 -1 51 -1 17 -1 52 -1 65 -1 22 -1 38 -1 99 -1 50 -1 110 -1 105 -1 113 -1 104 -1 133 -1 68 -1 143 -1 145 -1 147 -1 96 -1 169 -1 31 -1 245 -1 247 -1 253 -1 256 -1 79 -1 -2	1	1
46 -1 23 -1 107 -1 118 -1 9 -1 83 -1 10 -1 72 -1 42 -1 17 -1 18 -1 30 -1 20 -1 19 -1 86 -1 32 -1 82 -1 50 -1 110 -1 93 -1 94 -1 104 -1 54 -1 100 -1 145 -1 95 -1 6 -1 63 -1 62 -1 247 -1 253 -1 59 -1 257 -1 -2	1	1
120 -1 7 -1 17 -1 8 -1 113 -1 11 -1 76 -1 14 -1 78 -1 88 -1 107 -1 91 -1 112 -1 79 -1 23 -1 99 -1 70 -1 92 -1 117 -1 30 -1 38 -1 56 -1 93 -1 60 -1 114 -1 97 -1 132 -1 64 -1 133 -1 68 -1 95 -1 139 -1 83 -1 63 -1 245 -1 39 -1 108 -1 81 -1 -2	1	1
73 -1 15 -1 118 -1 29 -1 83 -1 10 -1 51 -1 35 -1 65 -1 18 -1 19 -1 53 -1 86 -1 41 -1 105 -1 113 -1 117 -1 77 -1 54 -1 95 -1 96 -1 106 -1 169 -1 187 -1 190 -1 253 -1 256 -1 84 -1 -2	1	1
2 -1 46 -1 5 -1 8 -1 13 -1 42 -1 65 -1 19 -1 71 -1 53 -1 32 -1 24 -1 99 -1 113 -1 117 -1 104 -1 115 -1 69 -1 100 -1 147 -1 96 -1 106 -1 182 -1 185 -1 63 -1 187 -1 189 -1 190 -1 245 -1 101 -1 247 -1 253 -1 59 -1 257 -1 84 -1 258 -1 -2	1	1
46 -1 8 -1 107 -1 83 -1 10 -1 12 -1 51 -1 17 -1 52 -1 19 -1 71 -1 26 -1 53 -1 86 -1 32 -1 41 -1 36 -1 82 -1 50 -1 105 -1 94 -1 103 -1 77 -1 54 -1 69 -1 147 -1 6 -1 63 -1 189 -1 101 -1 247 -1 -2	1	1
