#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

5 -1 1 5 -1 -2	5345	6
5 -1 -2	8351	1750
1 -1 -2	7838	4349
3 -1 -2	2780	622
2 -1 -2	3487	806
1 4 -1 -2	1681	26
1 -1 1 -1 -2	7057	306
4 -1 -2	2342	494
2 -1 2 -1 -2	2785	38
2 -1 1 -1 1 -1 1 -1 -2	1756	1
1 -1 4 -1 -2	1827	38
3 -1 3 -1 -2	2204	28
2 -1 5 -1 1 -1 -2	2145	5
1 -1 2 -1 1 -1 -2	2242	3
6 -1 -2	769	149
1 -1 5 -1 5 -1 -2	5246	8
5 -1 1 -1 -2	6159	120
2 -1 6 -1 -2	339	3
2 -1 5 -1 -2	2853	27
1 -1 5 -1 -2	6100	110
1 3 -1 -2	1990	21
1 -1 3 -1 -2	2144	50
1 -1 2 -1 5 -1 -2	2160	3
5 -1 2 -1 -2	2906	31
2 -1 1 -1 -2	2669	58
1 -1 1 -1 2 5 -1 -2	1830	1
4 -1 3 -1 -2	761	3
4 -1 1 -1 -2	1818	36
4 -1 2 -1 2 6 -1 -2	80	1
1 -1 1 -1 3 4 -1 6 -1 -2	76	1
3 -1 1 -1 -2	2148	40
1 3 5 -1 -2	1537	2
4 5 -1 -2	1769	9
5 -1 5 -1 -2	7697	74
5 -1 1 -1 2 6 -1 5 -1 -2	153	1
4 -1 4 -1 -2	1787	17
5 -1 4 -1 -2	1935	19
1 5 -1 -2	5856	94
1 2 -1 -2	2432	36
3 -1 2 -1 -2	1066	7
3 -1 5 -1 -2	2238	17
5 -1 3 -1 -2	2216	12
1 -1 1 5 -1 -2	5235	20
5 -1 2 -1 1 -1 -2	2186	1
1 -1 2 -1 -2	2702	63
1 -1 6 -1 1 -1 -2	518	2
4 -1 5 -1 -2	1909	14
2 5 -1 -2	2721	17
1 -1 1 -1 1 -1 -2	6089	15
1 2 -1 1 -1 -2	2164	4
2 -1 5 -1 5 -1 2 -1 -2	1593	1
6 -1 1 -1 -2	604	11
1 6 -1 1 -1 6 -1 -2	311	1
2 -1 1 -1 1 -1 -2	2184	7
2 -1 1 5 -1 -2	2222	2
1 -1 4 -1 1 -1 4 -1 -2	972	1
3 -1 5 -1 1 -1 -2	1696	2
2 -1 4 -1 -2	996	9
1 -1 1 2 -1 -2	2175	2
3 -1 5 -1 5 -1 -2	1947	2
2 5 -1 2 -1 1 -1 -2	1598	1
6 -1 1 -1 1 -1 -2	518	4
1 -1 1 -1 1 -1 2 -1 -2	1813	1
1 3 -1 3 5 -1 -2	1224	1
3 -1 4 -1 -2	767	11
1 -1 5 -1 5 -1 1 -1 -2	4114	1
2 -1 1 -1 1 2 -1 1 -1 -2	1217	1
5 -1 1 4 5 -1 -2	1212	1
2 -1 3 -1 -2	1079	11
3 -1 4 -1 5 -1 3 -1 -2	412	1
4 -1 2 -1 1 -1 3 -1 1 6 -1 -2	47	1
4 -1 1 -1 4 -1 -2	1247	1
3 -1 2 -1 1 -1 -2	859	1
1 -1 5 -1 1 -1 -2	5164	4
6 -1 3 -1 2 6 -1 2 5 -1 -2	48	1
3 -1 2 -1 5 -1 -2	894	1
5 -1 1 3 -1 -2	1643	1
1 5 -1 1 -1 -2	5232	8
3 -1 1 -1 3 -1 -2	1544	1
3 5 -1 -2	2122	17
4 -1 2 -1 -2	1025	6
2 -1 5 -1 1 -1 1 5 -1 -2	1524	1
2 -1 5 -1 2 -1 -2	2078	1
6 -1 4 -1 -2	253	2
1 5 -1 6 -1 -2	519	1
2 -1 2 -1 2 -1 -2	2046	3
5 6 -1 -2	574	8
1 -1 1 4 -1 5 -1 -2	1207	1
5 -1 5 -1 1 -1 4 -1 -2	1234	1
1 -1 1 -1 5 -1 -2	5175	11
1 5 -1 3 -1 -2	1751	1
3 -1 1 -1 5 -1 -2	1688	1
5 -1 4 -1 1 -1 -2	1494	3
1 -1 1 -1 5 -1 1 -1 -2	4140	2
2 -1 6 -1 4 -1 -2	147	1
1 2 -1 2 -1 1 -1 -2	1600	2
1 -1 4 -1 1 -1 -2	1550	5
1 5 -1 5 -1 -2	5323	5
1 -1 5 -1 3 -1 -2	1678	3
4 -1 5 -1 4 -1 4 6 -1 1 -1 5 -1 -2	37	1
3 -1 1 -1 1 -1 -2	1790	6
4 5 -1 1 4 -1 1 -1 -2	856	1
6 -1 5 -1 -2	608	5
1 -1 6 -1 -2	618	12
1 -1 3 -1 1 -1 -2	1808	1
5 -1 1 -1 5 -1 -2	5266	2
5 -1 3 -1 1 -1 -2	1700	2
5 -1 2 -1 3 -1 3 -1 -2	568	1
5 -1 6 -1 5 -1 1 -1 -2	407	1
1 -1 2 -1 3 -1 2 -1 -2	566	2
1 4 -1 1 -1 -2	1481	3
2 -1 5 -1 4 -1 -2	824	2
1 -1 1 4 -1 -2	1516	4
2 -1 5 -1 3 -1 -2	888	2
2 -1 2 -1 1 -1 3 -1 -2	602	1
4 -1 6 -1 1 -1 1 -1 -2	158	1
4 -1 1 -1 1 -1 -2	1496	3
1 5 -1 5 -1 1 -1 -2	4525	1
1 -1 1 -1 6 -1 -2	542	1
5 6 -1 5 -1 -2	515	1
2 5 -1 3 -1 -2	891	1
4 -1 1 -1 3 -1 -2	591	1
3 -1 4 6 -1 -2	79	2
2 -1 1 -1 4 -1 -2	771	1
5 -1 6 -1 -2	630	8
1 -1 1 5 -1 5 6 -1 -2	388	1
2 -1 2 -1 5 -1 -2	2128	2
1 6 -1 -2	555	8
6 -1 1 4 -1 -2	216	1
1 6 -1 3 -1 5 -1 -2	180	1
1 4 -1 4 -1 -2	1259	3
4 -1 6 -1 1 -1 -2	189	1
5 -1 4 -1 2 -1 1 -1 4 -1 -2	334	1
2 -1 1 -1 5 -1 -2	2103	2
3 -1 1 2 -1 -2	837	2
5 -1 2 5 -1 -2	2486	4
6 -1 3 -1 -2	247	2
3 -1 1 3 -1 -2	1544	1
5 -1 1 -1 1 -1 -2	5157	9
1 -1 5 -1 1 -1 1 -1 -2	4137	1
5 -1 5 -1 1 -1 -2	5339	7
1 -1 2 -1 3 -1 1 -1 -2	682	1
3 -1 1 6 -1 1 -1 -2	178	1
4 -1 5 -1 1 5 -1 -2	1290	1
5 -1 1 -1 1 4 -1 -2	1244	1
1 -1 5 -1 4 -1 -2	1490	2
1 -1 1 2 5 -1 -2	1745	1
1 -1 2 -1 4 -1 -2	797	3
2 5 -1 1 -1 -2	2156	4
6 -1 6 -1 -2	501	2
1 4 -1 5 -1 -2	1404	1
4 -1 4 -1 1 -1 -2	1278	1
1 -1 4 -1 3 -1 -2	612	1
2 -1 3 -1 3 -1 4 5 -1 1 4 -1 -2	120	1
1 -1 1 -1 4 -1 -2	1550	4
2 6 -1 6 -1 4 -1 1 -1 1 6 -1 -2	31	1
3 -1 3 4 -1 3 -1 -2	350	1
3 -1 6 -1 -2	262	1
2 -1 3 -1 2 -1 -2	771	1
1 -1 1 -1 2 -1 -2	2281	5
2 -1 2 -1 1 -1 1 -1 -2	1483	1
4 -1 1 -1 5 -1 3 -1 -2	469	1
4 5 -1 5 -1 -2	1613	1
1 2 3 -1 -2	634	1
5 -1 3 -1 5 -1 -2	1935	3
1 -1 3 -1 1 -1 4 -1 -2	531	1
2 4 -1 -2	786	3
1 3 4 -1 -2	460	1
5 -1 5 -1 5 -1 -2	6789	1
