#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

90 -1 39 -1 23 -1 5 -1 41 -1 -2	1	1
8 -1 107 -1 10 -1 68 -1 25 -1 79 -1 94 -1 245 -1 249 -1 135 -1 -2	1	1
10 -1 49 -1 79 -1 114 -1 51 -1 120 -1 143 -1 195 -1 -2	1	1
81 -1 53 -1 110 -1 117 -1 62 -1 249 -1 -2	1	1
34 -1 26 -1 73 -1 11 -1 79 -1 51 -1 113 -1 135 -1 143 -1 245 -1 70 -1 39 -1 -2	1	1
7 -1 31 -1 53 -1 54 -1 72 -1 113 -1 41 -1 20 -1 -2	1	1
120 -1 24 -1 11 -1 73 -1 78 -1 69 -1 88 -1 65 -1 110 -1 132 -1 260 -1 -2	1	1
117 -1 12 -1 136 -1 74 -1 310 -1 -2	1	1
8 -1 28 -1 47 -1 250 -1 25 -1 -2	6	1
46 -1 1 -1 118 -1 3 -1 253 -1 283 -1 -2	1	1
10 -1 35 -1 117 -1 21 -1 253 -1 64 -1 295 -1 -2	1	1
36 -1 19 -1 35 -1 79 -1 33 -1 191 -1 256 -1 -2	1	1
9 -1 65 -1 245 -1 27 -1 -2	6	1
150 -1 -2	208	4
39 -1 61 -1 125 -1 132 -1 9 -1 143 -1 92 -1 -2	1	1
31 -1 7 -1 38 -1 -2	20	1
19 -1 22 -1 247 -1 -2	39	1
4 -1 12 -1 87 -1 44 -1 48 -1 69 -1 -2	1	1
35 -1 117 -1 72 -1 47 -1 150 -1 246 -1 -2	1	1
58 -1 50 -1 24 -1 -2	6	1
18 -1 34 -1 -2	174	1
8 -1 11 -1 22 -1 27 -1 20 -1 38 -1 253 -1 258 -1 -2	1	1
25 -1 132 -1 44 -1 -2	12	1
2 -1 7 -1 9 -1 5 -1 143 -1 36 -1 209 -1 -2	1	1
22 -1 106 -1 78 -1 26 -1 103 -1 75 -1 -2	1	1
22 -1 26 -1 15 -1 66 -1 56 -1 21 -1 139 -1 8 -1 -2	1	1
8 -1 107 -1 118 -1 13 -1 65 -1 20 -1 19 -1 86 -1 50 -1 93 -1 134 -1 149 -1 111 -1 -2	1	1
2 -1 77 -1 87 -1 44 -1 50 -1 56 -1 33 -1 47 -1 146 -1 149 -1 171 -1 -2	1	1
12 -1 78 -1 118 -1 -2	43	1
95 -1 9 -1 35 -1 27 -1 36 -1 48 -1 78 -1 51 -1 117 -1 191 -1 248 -1 -2	1	1
95 -1 29 -1 47 -1 56 -1 8 -1 6 -1 252 -1 -2	1	1
2 -1 1 -1 69 -1 31 -1 87 -1 136 -1 -2	1	1
