#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 -1 -2	78307	5143
2 -1 -2	35459	998
5 -1 -2	83671	2014
4 -1 -2	24379	603
3 -1 -2	28139	716
1 5 -1 -2	58721	18
2 -1 2 -1 -2	28506	7
6 -1 -2	7922	156
1 -1 2 -1 -2	27270	23
4 -1 2 -1 -2	10322	4
1 -1 6 -1 -2	6363	3
1 -1 1 -1 2 -1 -2	23030	1
1 -1 3 -1 -2	21824	9
1 -1 5 -1 -2	61318	22
1 2 -1 -2	24492	7
6 -1 1 -1 -2	6209	2
5 -1 3 -1 5 -1 -2	19850	1
2 -1 1 -1 -2	27049	17
3 -1 2 -1 -2	11008	2
3 -1 5 -1 -2	22674	3
1 -1 4 -1 -2	18891	12
5 -1 1 -1 -2	61810	31
3 5 -1 -2	21740	5
1 -1 1 -1 -2	70650	76
5 -1 3 -1 -2	22905	5
2 3 -1 -2	8927	2
4 -1 1 -1 -2	18786	11
5 -1 5 -1 -2	77235	15
2 5 -1 -2	27709	5
2 -1 4 -1 -2	9949	2
4 -1 5 -1 -2	19886	5
1 6 -1 -2	5662	3
1 5 -1 1 -1 -2	52736	5
3 -1 6 -1 -2	2710	1
1 4 -1 -2	17334	10
3 -1 1 -1 -2	21603	13
1 3 -1 -2	19975	6
1 -1 3 -1 1 -1 -2	18379	2
3 -1 4 -1 -2	7941	2
3 -1 3 -1 -2	22143	5
4 -1 4 -1 -2	18570	6
6 -1 6 -1 -2	5160	1
2 6 -1 -2	2439	1
4 -1 3 -1 -2	7980	1
2 -1 5 -1 -2	29118	3
3 -1 1 -1 1 -1 -2	17988	1
1 -1 1 3 -1 -2	18024	1
6 -1 4 -1 -2	2647	1
5 -1 2 -1 2 -1 -2	21535	1
6 -1 5 -1 -2	6354	2
1 -1 1 -1 5 -1 -2	52303	1
5 6 -1 -2	6135	1
1 -1 3 -1 5 -1 -2	17302	1
2 -1 6 -1 -2	3159	1
5 -1 4 -1 -2	20126	3
4 5 -1 -2	18649	4
5 -1 2 -1 -2	29654	2
5 -1 6 -1 -2	6579	1
5 -1 1 -1 1 -1 -2	52159	1
2 -1 1 -1 3 -1 -2	8771	1
3 -1 1 -1 3 -1 -2	15572	1
