#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 -1 -2	6728	3356
2 -1 -2	3157	675
7 -1 -2	4886	795
9 -1 -2	6931	990
4 -1 -2	1716	364
8 -1 -2	5894	894
10 -1 -2	1518	208
5 -1 -2	7217	1513
1 9 -1 -2	4449	11
9 -1 2 -1 -2	2319	8
1 4 -1 -2	1096	5
9 -1 3 -1 -2	1603	2
6 -1 -2	558	92
3 -1 -2	2203	486
1 -1 9 -1 -2	4702	19
1 -1 10 -1 -2	1107	5
1 -1 1 -1 -2	5966	65
7 -1 7 -1 -2	4116	5
8 -1 5 -1 -2	4320	8
5 9 -1 1 -1 -2	3439	1
9 -1 7 -1 -2	3532	5
5 9 -1 -2	4701	9
9 -1 5 -1 -2	4954	8
5 -1 9 -1 -2	4953	3
5 -1 5 -1 -2	6418	18
2 -1 5 -1 -2	2377	7
1 -1 7 -1 -2	3355	12
1 7 -1 -2	3112	9
9 -1 1 -1 -2	4773	24
2 -1 8 -1 -2	2046	7
5 8 -1 -2	4141	7
1 -1 5 -1 -2	4855	25
1 2 -1 8 -1 -2	1378	1
5 -1 2 -1 -2	2410	7
9 -1 9 -1 -2	6200	10
4 -1 1 -1 -2	1228	5
8 -1 7 -1 -2	3029	6
7 -1 2 -1 -2	1736	5
1 8 -1 -2	3867	15
5 7 -1 -2	3387	9
10 -1 1 -1 -2	1096	2
9 -1 8 -1 8 -1 -2	3300	1
1 5 -1 -2	4507	10
5 -1 7 -1 -2	3622	6
4 -1 7 -1 -2	912	4
7 -1 6 -1 -2	353	1
1 -1 3 -1 2 -1 -2	612	1
3 -1 1 -1 -2	1536	9
1 -1 3 -1 -2	1581	6
8 -1 1 -1 -2	4103	14
1 3 -1 -2	1388	7
2 -1 1 -1 -2	2246	11
2 3 -1 -2	642	2
7 -1 1 -1 -2	3422	17
2 -1 1 -1 9 -1 -2	1629	1
5 8 -1 3 -1 -2	1061	1
2 -1 7 -1 -2	1673	2
2 8 -1 -2	1747	3
1 -1 6 -1 -2	420	3
2 9 -1 -2	2102	3
1 6 -1 -2	376	1
2 -1 9 -1 -2	2280	3
8 -1 9 -1 -2	4113	2
7 -1 8 -1 4 -1 -2	599	1
6 -1 1 -1 -2	411	3
3 5 -1 -2	1524	4
3 -1 9 -1 -2	1579	4
3 -1 5 -1 -2	1649	2
7 10 -1 -2	711	1
8 -1 4 -1 -2	1121	1
4 -1 5 -1 -2	1287	3
5 -1 1 -1 -2	4870	14
4 -1 2 -1 -2	601	1
4 8 -1 -2	959	2
4 7 -1 -2	754	1
7 -1 5 -1 -2	3637	6
9 -1 8 -1 -2	4135	5
3 -1 4 -1 -2	433	2
7 -1 9 -1 -2	3558	5
1 -1 8 -1 -2	4149	9
1 8 -1 1 -1 -2	3402	1
5 -1 3 -1 1 -1 -2	1168	1
5 -1 3 -1 -2	1666	2
7 -1 7 -1 1 -1 -2	2640	1
1 -1 2 -1 -2	2258	7
4 -1 9 -1 1 -1 -2	911	1
3 -1 3 -1 1 -1 -2	1084	1
7 -1 10 -1 -2	879	1
7 -1 8 -1 -2	3082	4
8 -1 1 3 -1 -2	928	1
8 -1 8 -1 -2	5073	6
1 2 -1 -2	2046	2
8 -1 3 -1 -2	1353	3
8 9 -1 -2	3857	4
10 -1 7 -1 -2	883	2
7 -1 1 8 -1 -2	2156	1
10 -1 5 -1 -2	1103	4
6 -1 9 -1 -2	415	1
3 -1 8 -1 -2	1407	3
2 5 -1 -2	2161	3
5 -1 8 -1 -2	4390	11
4 9 -1 -2	1122	1
7 -1 1 5 -1 -2	2520	1
10 -1 4 -1 -2	347	1
3 8 -1 -2	1189	2
9 -1 4 -1 -2	1262	3
4 -1 4 -1 -2	1283	3
4 -1 3 -1 -2	445	2
4 -1 10 -1 -2	347	2
7 -1 1 -1 6 -1 -2	264	1
5 -1 4 -1 -2	1307	4
4 7 -1 5 -1 -2	598	1
3 -1 3 -1 -2	1658	4
3 -1 2 -1 -2	829	2
8 -1 2 -1 -2	2049	1
5 -1 4 7 -1 -2	586	1
4 10 -1 -2	261	1
1 -1 10 -1 3 -1 -2	303	1
2 -1 6 -1 -2	207	1
1 -1 4 -1 -2	1256	2
1 -1 1 9 -1 -2	3908	1
2 -1 4 -1 -2	615	1
3 7 -1 -2	950	1
7 -1 4 -1 -2	920	1
2 7 -1 -2	1477	2
5 7 -1 4 -1 -2	709	1
8 -1 1 -1 2 -1 -2	1468	1
9 -1 8 9 -1 -2	3382	1
3 -1 1 -1 1 -1 -2	1255	1
10 -1 3 -1 -2	419	1
7 -1 3 -1 -2	1161	1
2 -1 2 -1 -2	2490	2
3 -1 1 8 -1 -2	1014	1
3 9 -1 -2	1450	3
4 -1 8 -1 -2	1113	2
2 -1 3 -1 -2	810	2
7 8 -1 -2	2743	2
10 -1 8 -1 -2	981	1
7 -1 4 -1 4 -1 -2	613	1
4 5 -1 -2	1212	2
4 -1 1 -1 1 -1 -2	1008	1
5 10 -1 -2	1022	2
10 -1 1 -1 10 -1 -2	690	1
2 10 -1 -2	395	1
9 -1 10 -1 -2	1116	1
10 -1 10 -1 -2	1060	1
1 10 -1 -2	959	1
5 -1 10 -1 -2	1153	1
2 4 -1 -2	487	1
