#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 -1 -2	73559	4190
2 -1 -2	30264	861
1 -1 1 -1 -2	64891	280
5 -1 -2	79484	1924
4 -1 2 -1 -2	7412	11
3 -1 3 -1 -2	18246	33
4 -1 -2	20290	541
4 -1 4 -1 -2	15327	26
1 5 -1 -2	51526	105
3 -1 -2	23671	634
5 -1 5 -1 1 -1 -2	44829	7
5 -1 1 -1 -2	53581	118
5 -1 2 -1 -2	23609	30
1 -1 5 -1 -2	53270	105
1 3 -1 -2	15747	16
5 -1 5 -1 -2	71773	82
2 -1 2 -1 -2	23972	35
1 2 -1 -2	19530	38
2 -1 1 -1 5 -1 -2	15938	4
5 -1 4 5 -1 -2	13041	1
4 -1 1 -1 -2	14370	37
2 -1 4 -1 -2	7089	11
5 -1 1 -1 5 -1 5 -1 -2	33563	1
2 -1 1 -1 2 -1 -2	14683	3
1 -1 2 -1 -2	21414	47
3 -1 5 -1 -2	17710	17
1 -1 1 -1 2 -1 1 -1 -2	13194	1
2 5 -1 3 -1 -2	6474	2
1 4 -1 -2	13466	22
2 3 -1 -2	6563	8
6 -1 -2	6355	123
1 -1 2 -1 5 -1 -2	16239	4
1 6 -1 -2	4298	11
5 -1 1 -1 3 -1 -2	12802	5
6 -1 3 -1 -2	1747	1
2 -1 3 -1 -2	7897	10
2 4 -1 -2	5967	11
5 -1 1 5 -1 -2	45940	5
4 6 -1 -2	1158	2
5 -1 2 3 -1 -2	5367	1
4 5 -1 -2	14651	17
1 -1 4 -1 -2	14488	41
1 -1 3 -1 -2	16946	49
5 -1 1 -1 1 -1 -2	43262	4
1 -1 1 -1 4 -1 -2	11898	2
3 -1 1 -1 -2	16697	26
3 -1 3 -1 5 -1 -2	12396	2
4 5 6 -1 5 -1 6 -1 -2	529	1
2 -1 5 -1 -2	23364	32
2 5 -1 -2	22494	13
6 -1 6 -1 -2	4156	6
1 -1 5 -1 5 -1 -2	43934	4
4 -1 1 -1 1 -1 -2	11528	3
3 -1 1 -1 2 -1 -2	5859	3
4 -1 5 -1 -2	15379	24
5 -1 4 -1 -2	15619	16
5 -1 5 -1 5 -1 5 -1 -2	45762	1
1 -1 6 -1 -2	4784	8
3 -1 1 -1 1 -1 -2	13452	2
1 5 -1 1 -1 -2	45173	12
6 -1 5 -1 1 -1 -2	3552	1
1 -1 3 -1 3 -1 -2	11701	2
1 -1 1 -1 5 -1 -2	43708	6
2 -1 5 -1 4 -1 1 -1 -2	3971	1
3 -1 1 -1 4 -1 4 -1 -2	2331	1
1 5 -1 5 -1 -2	45912	5
6 -1 1 -1 1 -1 -2	3832	2
1 -1 1 5 -1 -2	45178	9
2 -1 1 -1 -2	21315	45
3 -1 3 -1 2 -1 -2	5372	1
3 5 -1 -2	17269	12
3 -1 4 -1 -2	5365	12
1 -1 2 6 -1 -2	1400	2
1 -1 1 -1 2 -1 -2	17447	3
1 -1 1 -1 1 -1 -2	53798	15
4 -1 1 -1 4 -1 -2	9587	2
1 2 -1 1 -1 -2	17034	3
3 -1 2 -1 -2	7834	11
6 -1 2 -1 -2	2201	3
6 -1 5 -1 2 -1 -2	1760	1
2 5 -1 5 -1 -2	20046	2
5 -1 3 -1 -2	18046	12
2 4 -1 6 -1 -2	647	1
1 -1 5 -1 2 -1 -2	16412	2
2 -1 1 2 -1 -2	15196	6
