#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 -1 -2	78307	126
1 -1 1 -1 -2	70650	154
1 5 -1 -2	58721	59
5 -1 5 -1 -2	77235	43
5 -1 -2	83671	55
1 -1 6 -1 -2	6363	6
1 -1 5 -1 -2	61318	54
2 -1 1 -1 -2	27049	31
1 2 -1 -2	24492	9
4 -1 5 -1 -2	19886	3
3 -1 5 -1 -2	22674	12
1 -1 2 -1 -2	27270	29
1 4 -1 -2	17334	12
4 -1 6 -1 -2	2377	3
1 -1 3 -1 -2	21824	17
6 -1 5 -1 -2	6354	4
1 -1 4 -1 -2	18891	16
5 -1 1 -1 -2	61810	68
2 5 -1 -2	27709	10
4 -1 4 -1 -2	18570	12
5 -1 3 -1 -2	22905	9
1 3 -1 -2	19975	13
2 -1 2 -1 -2	28506	24
2 -1 -2	35459	26
2 -1 4 -1 -2	9949	7
3 -1 -2	28139	13
3 5 -1 -2	21740	10
4 -1 -2	24379	13
5 -1 4 -1 -2	20126	17
3 -1 3 -1 -2	22143	13
2 3 -1 -2	8927	6
2 -1 3 -1 -2	10970	5
4 -1 1 -1 -2	18786	18
5 -1 2 -1 -2	29654	22
3 -1 1 -1 -2	21603	23
6 -1 1 -1 -2	6209	6
4 5 -1 -2	18649	6
4 -1 3 -1 -2	7980	4
2 -1 5 -1 -2	29118	14
3 -1 2 -1 -2	11008	3
2 6 -1 -2	2439	1
5 6 -1 -2	6135	2
2 4 -1 -2	7985	1
6 -1 4 -1 -2	2647	1
4 -1 2 -1 -2	10322	4
6 -1 -2	7922	4
3 -1 4 -1 -2	7941	4
6 -1 2 -1 -2	3241	2
6 -1 3 -1 -2	2682	1
6 -1 6 -1 -2	5160	1
3 4 -1 -2	6234	2
5 -1 6 -1 -2	6579	1
3 -1 6 -1 -2	2710	1
