#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 -1 2 -1 -2	27270	108
3 -1 -2	28139	430
1 -1 -2	78307	3279
2 -1 3 -1 -2	10970	22
5 -1 -2	83671	1270
1 -1 3 -1 -2	21824	73
6 -1 1 -1 -2	6209	25
5 -1 4 -1 5 -1 -2	17163	3
4 -1 -2	24379	345
3 -1 5 -1 -2	22674	43
6 -1 1 3 -1 4 -1 -2	991	1
4 -1 1 -1 -2	18786	56
1 -1 1 -1 -2	70650	509
3 4 -1 3 -1 -2	4842	4
2 -1 -2	35459	678
3 -1 3 -1 -2	22143	38
2 -1 2 3 -1 -2	7009	4
5 -1 1 -1 4 -1 -2	15350	5
2 -1 1 -1 1 -1 -2	22511	15
1 2 -1 1 -1 4 -1 -2	6851	2
1 5 -1 1 5 -1 -2	48120	2
2 -1 5 -1 -2	29118	48
1 5 -1 3 -1 -2	18058	4
1 -1 4 -1 -2	18891	77
5 -1 1 -1 5 -1 -2	53031	10
5 -1 1 -1 -2	61810	192
3 -1 5 -1 3 -1 1 -1 3 -1 1 3 -1 3 4 -1 1 -1 -2	354	1
2 5 -1 -2	27709	34
2 -1 2 -1 4 -1 1 -1 -2	5380	1
1 3 -1 1 2 5 -1 5 -1 -2	5930	1
4 -1 4 5 -1 -2	14038	1
1 -1 6 -1 6 -1 -2	3425	2
1 3 -1 -2	19975	40
3 -1 1 -1 1 -1 -2	17988	12
1 -1 1 -1 1 -1 -2	61214	69
1 2 -1 1 2 -1 1 -1 -2	14309	1
3 -1 2 3 -1 1 -1 3 -1 -2	3692	1
1 -1 1 2 -1 4 -1 -2	6852	2
3 -1 1 -1 -2	21603	75
1 -1 5 -1 5 -1 -2	52799	8
5 -1 2 4 -1 5 -1 1 2 -1 -2	3549	1
1 -1 5 -1 1 -1 1 -1 -2	41670	5
6 -1 -2	7922	86
1 -1 2 -1 1 -1 -2	22807	11
1 -1 1 -1 1 -1 4 -1 -2	13006	2
1 3 5 -1 1 -1 5 -1 -2	12320	1
1 -1 2 -1 5 -1 -2	21922	9
5 -1 5 -1 -2	77235	116
1 -1 1 -1 5 -1 -2	52303	36
2 -1 1 -1 -2	27049	92
1 -1 2 5 -1 2 -1 -2	15886	1
3 -1 1 -1 5 -1 -2	17064	4
1 -1 1 5 -1 -2	52586	28
1 5 -1 -2	58721	159
5 -1 2 -1 1 5 -1 5 -1 -2	16278	1
1 -1 3 -1 1 4 -1 1 -1 -2	4595	1
5 -1 1 5 -1 -2	53537	7
5 -1 1 2 -1 -2	21050	8
2 -1 2 -1 1 -1 -2	20151	8
2 5 -1 5 -1 1 -1 -2	18978	1
1 -1 3 -1 2 -1 -2	8844	2
4 -1 5 -1 -2	19886	23
5 -1 3 -1 -2	22905	32
2 5 -1 2 5 -1 2 -1 -2	14926	1
5 -1 5 -1 5 -1 -2	67993	14
4 -1 1 -1 1 -1 -2	15541	6
4 5 -1 -2	18649	16
5 -1 2 5 -1 -2	25347	2
3 5 -1 3 -1 -2	16819	4
2 -1 5 -1 3 5 -1 1 -1 -2	6333	1
3 -1 4 5 -1 -2	6793	2
3 5 -1 -2	21740	24
1 2 -1 -2	24492	57
5 -1 1 -1 2 -1 3 -1 4 -1 6 -1 -2	359	1
2 3 -1 -2	8927	12
1 -1 5 -1 2 -1 -2	22200	5
1 -1 6 -1 -2	6363	23
1 5 -1 4 -1 -2	16065	5
1 5 -1 1 -1 -2	52736	33
2 -1 2 -1 -2	28506	56
1 -1 1 2 -1 1 -1 1 5 -1 -2	13487	1
1 -1 5 -1 1 -1 -2	51936	25
2 3 -1 2 3 -1 5 -1 -2	3904	1
4 -1 2 -1 1 -1 -2	8106	4
1 5 -1 1 -1 4 -1 2 -1 2 -1 -2	3611	1
1 -1 3 -1 1 -1 -2	18379	7
6 -1 1 -1 1 -1 1 -1 3 -1 -2	1376	1
1 4 -1 -2	17334	25
5 -1 4 -1 -2	20126	25
2 4 -1 1 -1 4 -1 -2	4579	1
5 -1 5 -1 1 -1 -2	53691	9
2 -1 1 3 -1 3 -1 1 -1 -2	4841	1
1 5 6 -1 1 -1 1 -1 6 -1 -2	1996	1
5 -1 1 -1 1 -1 -2	52159	22
1 -1 5 -1 -2	61318	174
2 -1 1 -1 2 -1 2 -1 -2	13005	3
1 -1 3 -1 3 -1 -2	15643	3
4 -1 1 -1 4 -1 -2	12815	5
1 5 -1 3 -1 1 5 -1 -2	14144	1
1 -1 4 -1 1 -1 -2	15765	12
4 -1 1 3 -1 -2	6456	3
5 -1 3 -1 5 -1 -2	19850	3
5 -1 2 -1 -2	29654	42
1 3 -1 1 -1 -2	17784	8
3 -1 1 -1 1 3 -1 -2	13028	1
3 -1 5 -1 1 -1 1 -1 2 5 -1 -2	4888	1
5 -1 2 -1 1 -1 -2	22179	5
5 -1 5 -1 3 -1 -2	20111	2
2 -1 5 -1 3 -1 -2	9085	2
5 -1 1 2 -1 1 -1 -2	18010	1
6 -1 6 -1 -2	5160	7
3 -1 1 -1 5 -1 5 -1 -2	13807	2
3 -1 1 -1 3 -1 6 -1 -2	1497	1
4 -1 4 -1 -2	18570	21
5 -1 5 -1 1 -1 1 4 -1 -2	10451	1
1 -1 4 -1 3 -1 3 -1 1 -1 -2	3058	1
1 -1 1 5 -1 1 -1 3 -1 3 -1 -2	7373	1
4 -1 4 -1 1 -1 -2	13060	3
2 5 -1 1 -1 -2	21778	13
3 -1 5 -1 3 -1 -2	16516	3
1 -1 1 5 -1 5 -1 -2	45429	2
3 -1 2 -1 2 -1 -2	7778	2
1 -1 1 2 -1 -2	22025	11
1 3 -1 1 -1 1 -1 -2	15184	1
3 -1 1 5 -1 2 -1 -2	7813	1
1 5 -1 1 -1 1 -1 -2	45478	4
3 -1 1 -1 1 5 -1 1 -1 6 -1 -2	1296	1
3 -1 1 -1 2 -1 -2	8737	4
1 4 -1 1 5 -1 -2	13406	3
2 -1 2 -1 2 -1 1 -1 4 -1 -2	3291	1
1 -1 1 -1 1 5 -1 -2	45397	3
2 -1 4 -1 -2	9949	12
3 -1 3 -1 4 -1 -2	5643	3
1 -1 5 -1 5 -1 1 -1 5 -1 -2	31055	1
4 6 -1 -2	1703	5
2 -1 1 5 -1 -2	22467	5
3 -1 4 -1 5 -1 2 -1 4 -1 4 -1 -2	944	1
1 -1 1 -1 6 -1 -2	5350	2
3 -1 6 -1 1 -1 1 -1 -2	1740	1
2 -1 2 -1 1 2 -1 1 -1 -2	10908	1
2 6 -1 -2	2439	2
2 -1 5 -1 2 -1 -2	21420	2
4 -1 1 -1 5 -1 -2	14954	5
3 6 -1 2 -1 -2	1021	1
1 2 -1 5 -1 4 -1 2 -1 -2	4617	1
1 -1 4 5 -1 -2	15001	4
4 -1 4 -1 3 -1 -2	5523	2
3 4 -1 -2	6234	11
1 -1 1 -1 3 -1 -2	18760	9
1 5 -1 2 5 -1 -2	20045	3
4 -1 1 3 -1 1 -1 -2	5504	1
3 -1 3 -1 3 5 -1 -2	12369	1
1 -1 4 -1 3 -1 -2	6391	2
4 -1 5 -1 5 -1 -2	16829	3
5 -1 1 4 -1 -2	14820	4
3 -1 2 -1 1 -1 1 -1 5 -1 -2	5257	1
3 -1 4 -1 -2	7941	12
2 -1 1 -1 1 -1 5 -1 -2	17144	1
4 -1 5 -1 2 -1 -2	8358	3
5 -1 4 -1 5 -1 1 -1 -2	12294	1
1 -1 5 -1 6 -1 4 -1 -2	1719	1
1 4 5 -1 1 -1 -2	12352	2
1 5 -1 5 -1 5 -1 -2	46753	2
6 -1 5 -1 -2	6354	11
6 -1 4 -1 -2	2647	2
1 3 -1 4 -1 1 3 -1 -2	4182	2
3 -1 6 -1 -2	2710	3
6 -1 5 -1 4 -1 -2	2156	1
2 5 -1 3 -1 -2	9279	1
5 -1 5 -1 2 -1 1 -1 1 -1 -2	13648	1
1 -1 1 -1 5 -1 1 -1 -2	41831	2
3 -1 2 -1 1 -1 -2	8685	3
